nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS.S MA`ARIF FITU,69963515,MTs,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS AL-IRSYAD AL-ISLAMIYAH,60205727,MTs,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS ALKHAIRAAT GAMBESI,60205728,MTs,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS ALKHAIRAAT TERNATE,60205725,MTs,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS DARUL ULUM SASA,60205726,MTs,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS SAHABAT CENDIKIA,69995678,MTs,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAS DARUL ULUM SASA,69734245,MA,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAS ULUL AL-BAAB,60205621,MA,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
HIDAYATULLAH,69898900,RA,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA AL-MA`ARIF JATI,69977220,RA,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIN 2 TERNATE,60724535,MI,NEGERI,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS AL-MA`ARIF 2 FITU,69894777,MI,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS AL-MAARIF JATI,60729588,MI,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS ALKHAIRAAT GAMBESI,60729589,MI,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS INTEGRAL HIDAYATULLAH,60724536,MI,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS RUMAH QUR`ANI IMAM BUKHARI,69975776,MI,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS SABILUL JANNAH,70014397,MI,SWASTA,Kec. Ternate Selatan,276002,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS AN - NUR MARIKURUBU,60205729,MTs,SWASTA,Kec. Ternate Tengah,276006,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS BAABUL JANNAH,60205730,MTs,SWASTA,Kec. Ternate Tengah,276006,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAS ALKHAIRAAT TERNATE,60205622,MA,SWASTA,Kec. Ternate Tengah,276006,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIN 1 TERNATE,60724537,MI,NEGERI,Kec. Ternate Tengah,276006,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS DARUL MUHSININ,60729591,MI,SWASTA,Kec. Ternate Tengah,276006,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS NURUDDIN MARIKURUBU,60724538,MI,SWASTA,Kec. Ternate Tengah,276006,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
ALKHAIRAAT SKEEP,69898903,RA,SWASTA,Kec. Ternate Tengah,276006,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA PENGEMBANGAN 1 TABAHAWA,69898902,RA,SWASTA,Kec. Ternate Tengah,276006,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS FATHUL MUNIR,60724539,MI,SWASTA,Kec. Ternate Utara,276003,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
PENGEMBANGAN 2 FACEY,69898899,RA,SWASTA,Kec. Ternate Utara,276003,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA  AN-NISA DWP STAIN TERNATE,69898901,RA,SWASTA,Kec. Ternate Utara,276003,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA BAKTI 1,69898905,RA,SWASTA,Kec. Ternate Utara,276003,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAN 1 TERNATE,60205623,MA,NEGERI,Kec. Ternate Utara,276003,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTS DARUL FALAH TERNATE,70033203,MTs,SWASTA,Kec. Ternate Utara,276003,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTS ULUMUL QUR`AN,69977224,MTs,SWASTA,Kec. Ternate Utara,276003,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSN 1 TERNATE,60205731,MTs,NEGERI,Kec. Ternate Utara,276003,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAS DARUL KHAIRAAT TAFAMUTU,60205619,MA,SWASTA,KEC. MOTI,276004,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS DARUL KHAIRAAT TAFAMUTU,60205723,MTs,SWASTA,KEC. MOTI,276004,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS MOTI VERBOND,60205722,MTs,SWASTA,KEC. MOTI,276004,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIN 3 TERNATE,60724532,MI,NEGERI,KEC. MOTI,276004,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS DARUL JANNAH FITAKO,60724534,MI,SWASTA,KEC. MOTI,276004,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTS BABULLAHUL KHAIRAAT,70061350,MTs,SWASTA,Kec. Ternate Barat,276008,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS BABULLAHTUL KHAIRAT LOTO,70006986,MI,SWASTA,Kec. Ternate Barat,276008,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSS PENGEMBANGAN KULABA,60205724,MTs,SWASTA,Kec. Pulau Ternate,276001,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
PENGEMBANGAN 5 TADUMA,69898897,RA,SWASTA,Kec. Pulau Ternate,276001,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
PENGEMBANGAN 6 LOTO,69898904,RA,SWASTA,Kec. Pulau Ternate,276001,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
PENGEMBANGAN 7 BULA,69898898,RA,SWASTA,Kec. Pulau Ternate,276001,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA PERMATA NURUL FIRDAUS,70048800,RA,SWASTA,Kec. Pulau Ternate,276001,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAS PENGEMBANGAN BULA,60205620,MA,SWASTA,Kec. Pulau Ternate,276001,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS FAKIRUDDIN KULABA,69725787,MI,SWASTA,Kec. Pulau Ternate,276001,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS NURUL YAQIN RUA,60724533,MI,SWASTA,Kec. Pulau Ternate,276001,Kota Ternate,276000,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
