nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA HARISUL KHAIRAAT OME,69975749,RA,SWASTA,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN-NUR BOBO,69752121,RA,SWASTA,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL MUJTAHID,69752122,RA,SWASTA,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAN 2 KOTA TIDORE KEPULAUAN,60728930,MA,NEGERI,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MAS HARISUL KHAIRAAT OME,60205627,MA,SWASTA,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTS HARISUL KHAIRAAT,60728781,MTs,SWASTA,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MTSN 2 TIDORE,60725190,MTs,NEGERI,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIN 3 TIDORE,60729434,MI,NEGERI,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIN 5 TIDORE,60724548,MI,NEGERI,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS AL-IKHLAS RUM,60730112,MI,SWASTA,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS HARISUL KHAIRAAT OME,70006555,MI,SWASTA,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
MIS MAREKU,60724547,MI,SWASTA,Kec. Tidore Utara,276103,Kota Tidore Kepulauan,276100,Prov. Maluku Utara,270000,0,0,0,0,0,0,0,0,,
