nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS AL IKHLAS DONGGO,50223152,MTs,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS MPILI,69788454,MTs,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS MTS AL - NUR DORIDUNGGA,60727623,MTs,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS PUNTI,50223151,MTs,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL - IKHLAS MANGGE NAE,69750393,RA,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS AL IKHLAS,60725635,MI,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS MI AL - NUR DORIDUNGGA,60730107,MI,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS MIS PALAMA,60728590,MI,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS MIS SAMPUNGU,60727072,MI,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS TAMAN PAHLAWAN AL HIKMAH,69727161,MI,SWASTA,Kec. Donggo,230608,Kab. Bima,230600,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
