nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS AL-ISHLAHUL ITTIHAD,50223219,MTs,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS AL-ISTIQOMAH KAPU,50223215,MTs,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS ISTI`DADUDDARAIN ORONG RAMPUT,50223218,MTs,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS NURUL YAQIN TENIGA,50223217,MTs,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS SUNAN KALIJAGA TANJUNG,50223214,MTs,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS SYAIKH ZAINUDDIN NW TANJUNG,69983337,MTs,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MTSS TARBIYATUL ISLAM NW KOPANG,50223216,MTs,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MAS AL-ISTIQOMAH KAPU,50222633,MA,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MAS ISTI`DADUDDARAIN ORONG RAMPUT,50222635,MA,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MAS SUNAN KALIJAGA TANJUNG,50222632,MA,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MAS TARBIYATUL ISLAMIYAH KOPANG,50222634,MA,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS AL-ISHLAHUL ITTIHAD SIGAR PENJALIN,60722093,MI,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS ISTI`DADUDDARAIN ORONG RAMPUT,60722094,MI,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS MI THORIQUL HIDAYAH LEONG,60727087,MI,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS NURUL YAQIN TENIGA,60722091,MI,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
MIS TARBIYATUL ISLAM NW KOPANG,60722092,MI,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT NW TANJUNG,69975739,RA,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAHRUL ULUM LOKOK MENUR,69750419,RA,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
TELADAN IMAM SYAFI I,69958221,RA,SWASTA,Kec. Tanjung,230801,Kab. Lombok Utara,230800,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,
