nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS IHWATUN HASANAH,10498848,MA,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MTS 3 ROKAN HILIR,69994266,MTs,NEGERI,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MTSS AL FURQON BANGKO JAYA,10499246,MTs,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MTSS AS SYAKIRIN,10499250,MTs,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MTSS IHWATUN HASANAH,10499248,MTs,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MTSS IKHLASIYAH,10499245,MTs,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MTSS MA`ARIF,10499247,MTs,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MTSS NURUL FIKRI,10499249,MTs,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MI AS SA`ADAH,69994262,MI,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MIS AL-ANSHOR,60704489,MI,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MIS AN-NUR,60704490,MI,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MIS AS-SYAKIRIN,69941327,MI,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MIS AT-THOHIROH,60704491,MI,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MIS FASTABIQUL KHAIRAT,60704492,MI,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
MIS NURUL ULUM,60704488,MI,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
RA  AZ ZIKRIYAH,69753324,RA,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
RA TAHFIZ AL QUR`AN AISYAH,70026171,RA,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
RA/BA/TA  AL-AZIZIYAH,69730986,RA,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-IKHLAS,69730984,RA,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
RA/BA/TA FASTABIQUL KHOIRAT,69730987,RA,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
RA/BA/TA IHWATUN HASANAH,69730988,RA,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL QOLBI,69730990,RA,SWASTA,Kec. Bangko Pusako,091010,Kab. Rokan Hilir,091000,Prov. Riau,090000,0,0,0,0,0,0,0,0,,
