nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS DDI MATTOANGING,40320353,MA,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS MAARIF LASEPANG,40320352,MA,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS MUHAMMADIYAH BANTAENG,40320350,MA,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS NAHDLATUT THAWALIB TOMPONG,40320351,MA,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS DARUL FALAH DDI MATTOANGING,60723571,MI,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS MAARIF CEDO,60723570,MI,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS ONTO,69983068,MI,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA NAIMAH TUMBEL GANI,69753017,RA,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA/BA/TA PERWANIDA I,69751311,RA,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS DDI MATTOANGING,40319894,MTs,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS MAARIF LASEPANG,40319891,MTs,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS MAARIF TUMBEL GANI,40319893,MTs,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS MUHAMMADIYAH BANTAENG,40319890,MTs,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS NAHDATUL TAWALIB TOMPONG,40319892,MTs,SWASTA,Kec. Bantaeng,191002,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
