nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA BAITUL MUKADDAS POPPOI,69751386,RA,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA IRSYADUL IBAD INTERNATIONAL SCHOOL,70045383,RA,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA MUTEMAINNAH,69751387,RA,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS AL-AMIN,40320383,MA,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS ANNUR NUSA,40320384,MA,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS BAITAL MUKADDAS POPPAI,69983625,MA,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS PALATTAE,40320385,MA,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
NURUL BIRRI,69849496,MA,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS  BAITAL MUKADDASA POPPAI,69725430,MTs,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS AL THALIBIYAH LALEPO,40320044,MTs,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS AL-AMIN,40320045,MTs,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS DDI AL-IZZA SANREGO,40320046,MTs,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS MARADDA,40320043,MTs,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS NUSA,40320042,MTs,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS PALATTAE,40320041,MTs,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS SA DARUL ABRAR,40320047,MTs,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MI AL AZIS KAMPIRI,69894767,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MI IRSYADUL IBAD INTERNATIONAL SCHOOL,70029323,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS AL-IZZA SANREGO,60723729,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS AL-MUKARRAMAH,60723727,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS AN NUR NUSA,60723724,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS ANNUR LALEPO,60723723,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS AR-RAHMAN LABUAJA,60723722,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS ASHABUL KAHFI,60723728,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS BAITAL MUKADDAS,60723730,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS BAITAL MUKADDAS CENRANAE,60723726,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS DARUL ABRAR,60723731,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS UKI SIPUTANRAE,60723725,MI,SWASTA,Kec. Kahu,190702,Kab. Bone,190700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
