nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS TAHFIZHUL QUR`AN NURUL JANNAH BANAWA,70033426,MTs,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS AL-KHAERIYAH MURANTE,40320237,MTs,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS AL-ZAKIYAH MALELA,40320240,MTs,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS DARUL KHAERIYAH TAWONDU,60729751,MTs,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS SA ISLAM WATHANIYAH CIMPU,40320239,MTs,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS SULI,40320238,MTs,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAN LUWU,40320504,MA,NEGERI,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS AL-ZAKIYAH,40320505,MA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS DARUL KHAERIYAH,69788111,MA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA NURFALAAH,69751568,RA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA. AR-RAHMAN UTAMA,69886063,RA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-KHAERIYAH MURANTE,69751565,RA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA/BA/TA CAKKEAWO,69751566,RA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA/BA/TA MARDATILLAH BUNTU SIAPA,69751567,RA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL JANNAH BANAWA,69751569,RA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA/BA/TA RAUDHATUL ATHFAL MALELA,69751570,RA,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIN 3 LUWU,60723921,MI,NEGERI,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS 04 MURANTE,60723922,MI,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS 05 BOTTA,60723923,MI,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS 06 CIMPU,60723925,MI,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS ANNUR UTAMA,60723924,MI,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS DARUL KHAERIYAH,60723926,MI,SWASTA,Kec. Suli,191702,Kab. Luwu,191700,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
