nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
AL-MUNAWWARAH YASRIB,69898801,RA,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
PERWANIDA 07 LAWO,69898810,RA,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
PERWANIDA 11 MALLANROE,69898809,RA,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
PERWANIDA I LAPAJUNG,69898808,RA,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA NABIGH,69898811,RA,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
RA. ANNAHDAH,69888150,RA,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAN 1 SOPPENG,40319636,MA,NEGERI,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MAS PP YASRIB LAPAJUNG,69733852,MA,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTS GUPPI LISU,69993215,MTs,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS DDI JOLLE,69853384,MTs,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS GUPPI SALOTUNGO,69853383,MTs,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MTSS JABALRAHMAH PALAKKA,69752217,MTs,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
PP YASRIB LAPAJUNG,69853382,MTs,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS GUPPI LISU,69854359,MI,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS GUPPI TALAGAE,69854358,MI,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS LPDI MASEWALI,40303814,MI,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
MIS NURUL QALAM PAUNGE,70010447,MI,SWASTA,Kec. Lalabata,190902,Kab. Soppeng,190900,Prov. Sulawesi Selatan,190000,0,0,0,0,0,0,0,0,,
