nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTSS AMTSALU,40406014,MTs,SWASTA,Kec. Poleang Barat,200707,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
MIN 1 BOMBANA,60724091,MI,NEGERI,Kec. Poleang Barat,200707,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
MAS POLEANG,40319645,MA,SWASTA,Kec. Poleang,200703,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
RA  AL-AZIZIYAH,69751786,RA,SWASTA,Kec. Poleang,200703,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
RA AL WAHDAH POLEANG,70059046,RA,SWASTA,Kec. Poleang,200703,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
MTSN 3 BOMBANA,40406013,MTs,NEGERI,Kec. Poleang,200703,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
MADRASAH ALIYAH ULIL ALBAB,69883302,MA,SWASTA,Kec. Kabaena Barat,200714,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
MADRASAH TSANAWIYAH BALIARA,40406011,MTs,SWASTA,Kec. Kabaena Barat,200714,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
RA AL WAHDAH KABAENA,70060917,RA,SWASTA,Kec. Kabaena Barat,200714,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
MIS AL-ISTIQAMAH,60724096,MI,SWASTA,Kec. Poleang Timur,200704,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
MADRASAH ALIYAH AL-ISTIQAMAH BAMBAEA,40319646,MA,SWASTA,Kec. Poleang Timur,200704,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
MAS MODERN TEPPOE,69788227,MA,SWASTA,Kec. Poleang Timur,200704,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
RA  BUNGA PADI,69898853,RA,SWASTA,Kec. Poleang Timur,200704,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
RA ARAIJUTASUKKI  TASUKKI SAHABAT ILMU,70027709,RA,SWASTA,Kec. Poleang Timur,200704,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL JAMIL,69751789,RA,SWASTA,Kec. Poleang Timur,200704,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,0,0,0,0,0,0,0,0,,
