nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA HIDAYATULLAH PALAES,69977179,MA,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS HIDAYATULLAH,40105206,MTs,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS NURUL BAHRI,69728484,MTs,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA. AL MAGHFIRAH,69885975,RA,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA. AL MUBIEN,69888128,RA,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA. FATHUL MUBIEN,69885977,RA,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA. NURUL BAHRI,69885976,RA,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA. RABIATUL ADAWIYAH,69885974,RA,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MI FATHUL JANNAH MUNTE,70059059,MI,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS HIDAYATULLAH PALAES,69727167,MI,SWASTA,Kec. Likupang Barat,170607,Kab. Minahasa Utara,170600,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
