nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA/BA/TA ALKHAIRAAT MOGOLAING,69751103,RA,SWASTA,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS ALKHAIRAAT MOGOLAING,60723371,MI,SWASTA,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS BAITUL MAKMUR KOTAMOBAGU,60729536,MI,SWASTA,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS BUDI MULIA GOGAGOMAN,60730110,MI,SWASTA,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS HIDAYATULLAH MONGKONAI,60723372,MI,SWASTA,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSN 1 KOTAMOBAGU,40105213,MTs,NEGERI,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS MUHAMMADIYAH,69941541,MTs,SWASTA,Kec. Kotamobagu Timur,176302,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MI MI ASSA'ADAH,70060342,MI,SWASTA,Kec. Kotamobagu Timur,176302,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS CENDEKIA MUHAMMADIYAH KOTAMOBAGU,60723373,MI,SWASTA,Kec. Kotamobagu Timur,176302,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL-KAUTSAR TABANG,69995176,RA,SWASTA,Kec. Kotamobagu Timur,176302,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AS-SA`ADAH,69941277,RA,SWASTA,Kec. Kotamobagu Timur,176302,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL IMAN,69751108,RA,SWASTA,Kec. Kotamobagu Timur,176302,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MI TAHFIDZUL QUR'AN MOTOBOI KECIL,70059682,MI,SWASTA,Kec. Kotamobagu Selatan,176304,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL QUR`AN AS SUNNAH MOTOBOI KECIL,70009954,RA,SWASTA,Kec. Kotamobagu Selatan,176304,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA NURUL HUDA,70012915,RA,SWASTA,Kec. Kotamobagu Selatan,176304,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA MUALLIMIN,69751106,RA,SWASTA,Kec. Kotamobagu Selatan,176304,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSN 2 KOTAMOBAGU,40105212,MTs,NEGERI,Kec. Kotamobagu Selatan,176304,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS AL-HIKMAH MOGUTAT,69941540,MTs,SWASTA,Kec. Kotamobagu Selatan,176304,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MAN 1 KOTAMOBAGU,40105189,MA,NEGERI,Kec. Kotamobagu Selatan,176304,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MAS AL-HIKMAH MOGUTAT,69725152,MA,SWASTA,Kec. Kotamobagu Selatan,176304,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
