nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAARIF NU BUHA,69898761,RA,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL HIKMAH CAMAR BUHA,70044694,RA,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL KAMAL,69941268,RA,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL-AZHIIM MAPANGET,69941266,RA,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAITUSH SHOLIHIN,69751091,RA,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA RAIHANAH,69751092,RA,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS ALKHAIRAAT MAPANGET,69752215,MI,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS ANNISA MA ARIF PANDU,69941398,MI,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS RAIHANNAH PANIKI DUA,69854374,MI,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS ALKHAIRAAT MAPANGET,69733827,MTs,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MAS ALKHAIRAAT MAPANGET,69733846,MA,SWASTA,Kec. Mapanget,176004,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS ALKHAIRAAT KOMO,40105211,MTs,SWASTA,Kec. Wenang,176003,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL KHAIRAAT KOMO LUAR,69995414,RA,SWASTA,Kec. Wenang,176003,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA IRADAT,69941265,RA,SWASTA,Kec. Wenang,176003,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS KAYUBULAN,60730256,MI,SWASTA,Kec. Malalayang,176001,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-MANAR 2,69751088,RA,SWASTA,Kec. Malalayang,176001,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAHRUL ULUM,69751089,RA,SWASTA,Kec. Malalayang,176001,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS AL FALAH,69728143,MTs,SWASTA,Kec. Wanea,176006,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA DEWI SARTIKA,70052397,RA,SWASTA,Kec. Wanea,176006,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA KHOTIMAH,69941269,RA,SWASTA,Kec. Wanea,176006,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MA KEJURUAN MADANI MANADO,69977180,MA,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MAN MODEL 1 MANADO,60725207,MA,NEGERI,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
AWWAL FATHUL MUBIEN,69898762,RA,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL KHAIRAAT MANADO,69941271,RA,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AMALIA MAHAWU,70044175,RA,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AT TAUFIQ,69941270,RA,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA NURUL HIDAYAH,69941272,RA,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA AR- RAHMAH,69751098,RA,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIN 1 MANADO,60725117,MI,NEGERI,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS AL HIJRAH,69726262,MI,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS ALKHAIRAT SOSPOL,60730254,MI,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS AL-INAYAH,69932047,MTs,SWASTA,Kec. Tuminting,176008,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AISYIYAH BANJER,69753013,RA,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AT-TAQWA,69753002,RA,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA DARUL FAIZIN,70050858,RA,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA ANNUR,69751096,RA,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA MISFALLAH,69751094,RA,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA TUNAS BANGSA,69751095,RA,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS AT-TAQWA,69727170,MI,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS ZIYADATUN NIKMAH MANADO,69932034,MI,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS NURUT TAQWA,69727227,MTs,SWASTA,Kec. Tikala,176007,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS TAHFIDZ TUAH SAKATO,70044374,MI,SWASTA,Kec. Paal Dua,176010,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA NURUT TAQWA,69941276,RA,SWASTA,Kec. Paal Dua,176010,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH MANADO,60723369,MI,SWASTA,Kec. Singkil,176009,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MAS PKP,69727847,MA,SWASTA,Kec. Singkil,176009,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA BUNDA BESTARI,69751093,RA,SWASTA,Kec. Singkil,176009,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA TERPADU AL-KAUTSAR,70029156,RA,SWASTA,Kec. Singkil,176009,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS MUHAMMADIYAH MANADO,69932046,MTs,SWASTA,Kec. Singkil,176009,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS PKP MANADO,69725818,MTs,SWASTA,Kec. Singkil,176009,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MI MI AL-AQSHA,69977172,MI,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MI PLUS ASSALAAM MANADO,70036911,MI,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIN 2 MANADO,60725118,MI,NEGERI,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS AL - AMANAH,69726692,MI,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MIS DARUL ISTIQAMAH,69726264,MI,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL AQSHA MOLAS,69941274,RA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL KAUTSAR,70033627,RA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA ASSALAM MANADO,69753001,RA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA HIDAYATULLAH MOLAS,69941273,RA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA INSAN CITA,70050013,RA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA/BA/TA IRSYADUL IBAAD,69751087,RA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MAS AL MUHAJIRIN,40105190,MA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MAS ASSALLAM MANADO,69727848,MA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MAS DARUL ISTIQAMAH,69727849,MA,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSN 1 MANADO,60725168,MTs,NEGERI,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS AL MUHAJIRIN,40105210,MTs,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS ASSALAM MANADO,69725817,MTs,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MTSS DARUL ISTIQAMAH,69727764,MTs,SWASTA,Kec. Bunaken,176005,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
RA AL KHAIRAAT BUNAKEN,69941275,RA,SWASTA,Kec. Bunaken Kepulauan,176011,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
MI ALKHAIRAAT BUNAKEN,69995191,MI,SWASTA,Kec. Bunaken Kepulauan,176011,Kota Manado,176000,Prov. Sulawesi Utara,170000,0,0,0,0,0,0,0,0,,
