nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MARDHATILLAH,69849512,MA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSN 1 KEP. MENTAWAI,10311298,MTs,NEGERI,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA AISYIYAH,69995097,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA AMANAH,69995004,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BAKTI ISLAM 35,69753611,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BAKTI ISLAM 36,69753612,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BAKTI ISLAM 45,69753614,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA MARDHATILAH,69753622,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA RA/BA/TA BAKTI 138,69995382,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAKTI ISLAM 143,69897495,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
