nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MARDHATILLAH,69849512,MA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSN 1 KEP. MENTAWAI,10311298,MTs,NEGERI,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA AISYIYAH,69995097,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA AMANAH,69995004,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BAKTI ISLAM 35,69753611,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BAKTI ISLAM 36,69753612,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BAKTI ISLAM 45,69753614,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA MARDHATILAH,69753622,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA RA/BA/TA BAKTI 138,69995382,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAKTI ISLAM 143,69897495,RA,SWASTA,Kec. Sipora Utara,081008,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BHAKTI ISLAM 43,69753607,RA,SWASTA,Kec. Sikakap,081009,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAS DARUL ULUM MENTAWAI,69983404,MA,SWASTA,Kec. Sikakap,081009,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSN 2 KEP. MENTAWAI,10311296,MTs,NEGERI,Kec. Sikakap,081009,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MIS SIKAKAP,60704174,MI,SWASTA,Kec. Sikakap,081009,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BAKTI ISLAM 42,69753613,RA,SWASTA,Kec. Sipora Selatan,081002,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA BHAKTI ISLAM 33,69753609,RA,SWASTA,Kec. Sipora Selatan,081002,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
BAKTI 34 BUNAYYA,69957856,RA,SWASTA,Kec. Siberut Selatan,081003,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA ISLAM BAKTI 70,70028627,RA,SWASTA,Kec. Siberut Selatan,081003,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS ISLAMIC CENTER SYAIKH SHOLIH AR-RAJIHI,69983949,MTs,SWASTA,Kec. Siberut Selatan,081003,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAS ISLAMIC CENTER SYAIKH SHOLIH AR-RAJIHI,69983403,MA,SWASTA,Kec. Siberut Selatan,081003,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA/BA/TA BAKTI ISLAM 47,69971383,RA,SWASTA,Kec. Siberut Barat Daya,081006,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS AL MUHTADIN,10311297,MTs,SWASTA,Kec. Siberut Utara,081004,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
PASAPUAT,69895074,MTs,SWASTA,Kec. Pagai Utara,081001,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
ARRAHIM,69957854,RA,SWASTA,Kec. Pagai Utara,081001,Kab. Kepulauan Mentawai,081000,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
