nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAN 2 PASAMAN BARAT,10311424,MA,NEGERI,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAS ADLANIYAH,10311426,MA,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAS ITTIHADUL MUBALIGHIN,10311429,MA,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAS MUHAMMADIYAH TAMIANG,10311427,MA,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
HARAPAN BUNDA,69963267,RA,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
JAMALIYAH,69957861,RA,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA KASIH BUNDA,69995268,RA,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA SYARIFAH SYARIF,69994234,RA,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MIS AL - MUKHLISIN,60704191,MI,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MIS MASJID RAYA UJUNG GADING,60704192,MI,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MIS MUHAMMADIYAH TAMIANG,60704190,MI,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSN 2 PASAMAN BARAT,10311335,MTs,NEGERI,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS AL-ISHLAH,10311338,MTs,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS ITTIHADUL MUBBALIGHIN,10311340,MTs,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS MUHAMMADIYAH TAMIANG,10311337,MTs,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS NAILUL HUSNIYAH,10311336,MTs,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS PP ADLANIYAH,10311341,MTs,SWASTA,Kec. Lembah Melintang,081303,Kab. Pasaman Barat,081300,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
