nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MIN 1 SOLOK SELATAN,60704183,MI,NEGERI,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MIN 2 SOLOK SELATAN,60704181,MI,NEGERI,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL ULUM,69819445,MI,SWASTA,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSN 1 SOLOK SELATAN,10311310,MTs,NEGERI,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSN 5 SOLOK SELATAN,10311311,MTs,NEGERI,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS TARBIYAH ISLAMIYAH,10311312,MTs,SWASTA,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA TAUD AL IKHLASH,69994233,RA,SWASTA,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL - ISYRAH,69730625,RA,SWASTA,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA/BA/TA AMANAH,69730626,RA,SWASTA,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAN 1 SOLOK SELATAN,10310938,MA,NEGERI,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAS PPATI,10310939,MA,SWASTA,Kec. Sungai Pagu,081102,Kab. Solok Selatan,081100,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
