nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MTS MUHAMMADIYAH BUKIT KILI,10307834,MTs,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSN 2 SOLOK,10311109,MTs,NEGERI,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS ARRAHIMIYAH SELAYO,10311113,MTs,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS MUHAMMADIYAH PANYAKALAN,10311110,MTs,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MTSS NAGARI GANTUNG CIRI,10311114,MTs,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MIN 1 SOLOK,60704132,MI,NEGERI,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MIS SUBARANG KOTO BARU,60704133,MI,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAN 1 SOLOK,10310926,MA,NEGERI,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
MAS NAGARI GANTUNG CIRI,69849516,MA,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA ARRAHMAN,69730486,RA,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA USWATHUN HASANAH,69994993,RA,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA. IKHLAS DW DEPAG SUBARANG,69887389,RA,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA. RAUDHATUL ATHFAL NAGARI GANTUNG CIRI,69883832,RA,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA/BA/TA IKSAL SAOK LAWEH,69730487,RA,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA.AL-QURAN MSJ.RAYA SELAYO,69730489,RA,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
RA/BA/TA RA> PK3A PANYANGKALAN,69730492,RA,SWASTA,Kec. Kubung,080410,Kab. Solok,080400,Prov. Sumatera Barat,080000,0,0,0,0,0,0,0,0,,
