nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA/BA/TA AL - MUAWWANAH,69731406,RA,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ISTIQOMAH,69731407,RA,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MI IZZATUL KAMILAH,69993721,MI,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIN 2 MUSI BANYUASIN,60704964,MI,NEGERI,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIS DINIYATUL ISLAMIYAH,60704965,MI,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
AL IKHLAS KEBAN,69853334,MTs,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTS AUTHANIYAH PENGGAGE,10648627,MTs,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTS IZZATUL KAMILAH,70027413,MTs,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS AL MARHAMAH,69734204,MTs,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS DINIYATUL ISLAMIYAH,10648624,MTs,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS NURUL AMAL,10648626,MTs,SWASTA,Kec. Sanga Desa,110101,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
