nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS AL - IKHSAN KELIREJO,69886288,MA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MAS AL IKHSAN,10648332,MA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MAS MAMBAUL ULUM,69788160,MA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
RA AL MUKHAROMAH,69731431,RA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
RA AL-IKHSAN,70004277,RA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
RA DARUT TAUBAH,69940851,RA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
RA MAMBAUL ULUM,70003846,RA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL HUDA,69940853,RA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
RAUDLATUL QURAN,70003005,RA,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS AL IHSAN,10648691,MTs,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS AL IKHSAN,10648690,MTs,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS AL MUJTAHIDIN,69927946,MTs,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS MAMBAUL ULUM,10648688,MTs,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS MIFTAHUL HUDA,10648689,MTs,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MTSS TANJUNG KEMUNING,10648692,MTs,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIN 3 OGAN KOMERING ULU TIMUR,60705043,MI,NEGERI,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIS AL MUJTAHIDIN,60705047,MI,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIS AL-IKHSAN,70004015,MI,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIS MAFATIHUL HUDA AL IHSAN,60705044,MI,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIS MAMBA`UL ULUM,70044386,MI,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIS MAMBAUL ULUM,60705046,MI,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIS MIFTAHUL HUDA,60705045,MI,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
MIS NURUL AMIN,60705048,MI,SWASTA,Kec. Belitang II,110807,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,0,0,0,0,0,0,0,0,,
