nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAN BATU BARA,60728915,MA,NEGERI,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AL - WASHLIYAH KEDAISIANAM,10264698,MA,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL MUAWWANAH,60704010,MI,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS CENDIKIA,69982743,MI,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSN BATU BARA,10264505,MTs,NEGERI,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL- WASHLIYAH SIMPANG GAMBUS,10264081,MTs,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS BINA BANGSA MANGKAI LAMA,10264046,MTs,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
AL WASHLIYAH KEDAISIANAM,69897436,RA,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA BAITUSSALAM,69754635,RA,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA CENDIKIA,70032961,RA,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA MUGHNI AL FATTAH,69754370,RA,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA PERTIWI,69994195,RA,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA UMMU AL - FATIMAH,69754638,RA,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA. AL WASHLIYAH,69883720,RA,SWASTA,Kec. Lima Puluh,072203,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
