nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MAS AL - WASHLIYAH TANJUNG TIRAM,10264703,MA,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS JABAL HINDI,69955616,MA,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MI AL WASHLIYAH DAHARI INDAH,70034307,MI,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MI NURUL IKHLAS,69894578,MI,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIN 2 BATU BARA,60704022,MI,NEGERI,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL WASHLIYAH SKB PAHANG,60727251,MI,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS JABAL HINDI,69894577,MI,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
SUHAIRIYAH TALAWI,69956080,MI,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS BAITUSSALAM,69994196,MTs,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL WASHLIYAH LABUHAN RUKU,10264079,MTs,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL WASHLIYAH PETATAL,10264080,MTs,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL WASHLIYAH TANJUNG TIRAM,10264078,MTs,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS JABAL HINDI,69895066,MTs,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS NURHASANAH,10264521,MTs,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
AS ADI,69897443,RA,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA. NURUL IKHLAS,69883727,RA,SWASTA,Kec. Talawi,072206,Kab. Batu Bara,072200,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
