nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA AT TIBYAN,70052311,MA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL - ICHLAS,10264179,MTs,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL-ABRORIYAH,10264180,MTs,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL-IKHLAS,10264178,MTs,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL-ISLAMIYAH KARANG ANYAR,10264177,MTs,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA AL-AMIN,69752402,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA NURUL FATIHAH AHMAD,70008723,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA. AN-NAHAL,69883681,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA. NURSYAHIDA ARAS KABU,69883682,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ISLAMIYAH,69729337,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-ABRORIYAH,69729330,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-AQILAH,69729332,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-FAJAR,69729333,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL-HIKMAH,69729334,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA ARDIANSYAH,69729335,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL AMIN,69729338,RA,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MI YPI NURUL FATIHAH AHMAD,70024960,MI,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIN 3 DELI SERDANG,60703723,MI,NEGERI,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL HIKMAH,60703726,MI,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL IKHLAS,60703724,MI,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL-ABRORIYAH,60703727,MI,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL-AMIN,69854418,MI,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL-ISLAMIYAH,60703728,MI,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AN-NAHAL,69854417,MI,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS TPI AL-FAJAR,60703729,MI,SWASTA,Kec. Beringin,070129,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
