nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA MUTIARA SUNGGAL,70028242,MA,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AL ASY ARIYAH,69963524,MA,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AMALIYAH,10264737,MA,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS FARHAN SYARIF HIDAYAH,70006919,MA,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS ISTIQOMAH SRI GUNTING,69941578,MA,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS NUR ADIA,69983387,MA,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS YASPEND EL-HIDAYAH,10264736,MA,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIFTAHUL FALAH DISKI,69849524,MA,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
AL FAJAR SEI MENCIRIM,69853171,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
BAYU PERTIWI,69853167,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS AR-RA`YU,70028866,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS FARD AHILLAH,69995534,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS FARHAN SYARIF HIDAYAH,70006920,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS HIJMAR,69994157,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS MADANI IKHWANUL HASANAH,70027482,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL - KHAIRIYAH,10264255,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL WASHLIYAH MEDAN KRIO,10264258,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL-MUHAJIRIN,10264260,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AMALIYAH SUNGGAL,10264261,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS ISTIQOMAH,10264263,MTs,SWASTA,Kec. Sunggal,070123,Kab. Deli Serdang,070100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
