nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MA TAHFIZH AZHAR CENTRE,70031931,MA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAN 2 LABUHANBATU UTARA,60729879,MA,NEGERI,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AL WASHLIYAH TANJUNG PASIR,60728918,MA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AT-TAUFIQURRAHMAN,60728357,MA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS ISLAMIYAH GUNTING SAGA,60728358,MA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
AL KALAM,69897457,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
AL MUBARAK,69897460,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
AR RAHMAN,69897459,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
AR-RAHMAH,69971380,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA AKBAR INSAN CENDEKIA (RA-AIC),70014261,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA AL WASHLIYAH GUNUNG MELAYU,69754195,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA MUSLIMAT AL-WASHLIYAHSIMANGALAM,70009927,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL WASHLIYAH GUNTING SAGA,69730091,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN NAJWAN,69730092,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN NUR,69730093,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AS SALAM,69730094,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA ISLAMIYAH GUNUNG MELAYU,69730095,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA MUSLIMAT AL WASHLIYAH,69730096,RA,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MI AKBAR INSAN CENDEKIA (MI-AIC),70014260,MI,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIN 1 LABUHANBATU UTARA,60704040,MI,NEGERI,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL - WASHLIYAH SIAMPORIK,60727307,MI,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL-WASHLIYAH SIDUA DUA,60727308,MI,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS AKBAR INSAN CENDEKIA (MTS-AIC),70013708,MTs,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSN 1 LABUHANBATU UTARA,10263970,MTs,NEGERI,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSN 2 LABUHANBATU UTARA,60725138,MTs,NEGERI,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL - FALAH SIMANGALAM,60727999,MTs,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL - WASHLIYAH TANJUNG PASIR,60728001,MTs,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL - WASLIYAH GUNTING SAGA,60728000,MTs,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AT - TAUFIQURRAHMAN,60728002,MTs,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS ISLAMIYAH GUNTING SAGA,10264532,MTs,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
PONTREN AL-IHSAN,69895070,MTs,SWASTA,Kec. Kualuh Selatan,072505,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
