nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
AL HIDAYAH LONDUT,69895068,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
ISLAMIYAH LONDUT,69853185,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS PPTQ ASY-SYIFA SONOMARTANI,70026013,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL WASHLIYAH SUKARAME,69757454,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL-IKHLAS,60727997,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AS SYARIF KUALA BERINGIN,60727998,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS HUMAYROH LABURA,69983218,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS SYAFI`IYATUL AHMAD,69983946,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS YAYASAN PERGURUAN AL WASHLIYAH PARPAUDANGAN,69983365,MTs,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AL WASHLIYAH AEK KANOPAN,60729888,MA,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AS SYARIF KUALA BERINGIN,60728356,MA,SWASTA,Kec. Kualuh Hulu,072506,Kab. Labuhanbatu Utara,072500,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
