nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MI SWASTA AL-HUDA MAILIL JAE,69956076,MI,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS FURQONIYAH,60703570,MI,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS NUR IMAN,60703569,MI,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS HABIBULLAH,69894784,MA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS NURUL IMAN SUKARAMAI,10264785,MA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSN 2 LABUHANBATU,10263956,MTs,NEGERI,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL AZIS,69757135,MTs,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL HUDA,10263960,MTs,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL IJTIMAIYAH,10263957,MTs,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS HABIBULLAH SIBARGOT,10263959,MTs,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS NURUL IMAN SUKARAMAI,10263958,MTs,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA AL KHAIRI,70009044,RA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA AL QOMAR,69754202,RA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA MIFTAHUL ILMI,69995104,RA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA SWASTA AL-MARQUM,70007022,RA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ANFAL PADANG LAUT,69729102,RA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL BUDIMAN AKROBUSSANI,69729103,RA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA HASANAH SILUMAN,69729106,RA,SWASTA,Kec. Bilah Barat,070708,Kab. Labuhanbatu,070700,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
