nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
RA/BA/TA HUBBUL WATHAN,69729984,RA,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL IKHLAS,69729985,RA,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA PAYA PINANG,69729986,RA,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA ROHANI IKHWANUL MUSLIMIN,69729987,RA,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA YAYASAN PENDIDIKAN IBADAH,69729989,RA,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MA ROHANI IKHWANUL MUSLIMIN,70029079,MA,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MA YASPENJAP,70028766,MA,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTS YAYASAN PENDIDIKAN JAYA PENGGALIAN,69994588,MTs,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS AL MUSLIMIN,10264429,MTs,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS ROHANI IKHWANUL MUSLIMIN,69955818,MTs,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS YAYASAN PENDIDIKAN IBADAH,10264428,MTs,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIN 4 SERDANG BEDAGAI,60703964,MI,NEGERI,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS ROHANI IKHWANUL MUSLIMIN,60703966,MI,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS YAYASAN PENDIDIKAN IBADAH,60703965,MI,SWASTA,Kec. Tebing Syahbandar,072115,Kab. Serdang Bedagai,072100,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
