nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
ANNAJWATURRUSYDAH,69897383,RA,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA NURUL AINI,70031925,RA,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA PERTIWI,69897382,RA,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS ALWASHLIYA SEI LANGGAI,69853173,MTs,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS ASY-SYIAR PARTIMBALAN,10264102,MTs,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AL-AMIN,70010898,MA,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MAS AL-WASHLIYAH,60729885,MA,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIN 2 SIMALUNGUN,60703666,MI,NEGERI,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS AL-WASHLIYAH,60703667,MI,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS ANNAJWATURRUSYDAH,69983929,MI,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS ASY-SYIAR PARTIMBALAN,60703668,MI,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS BABUSSALAM,69754551,MI,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS DARUL FAHMI,69982843,MI,SWASTA,Kec. Bandar Masilam,070426,Kab. Simalungun,070400,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
