nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
MI TAHFIDZ YUSRIYAH,70035724,MI,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MIS ISTIQOMAH,60728835,MI,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSN 3 MEDAN,10264578,MTs,NEGERI,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS CENDEKIA,60727920,MTs,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS HASANUDDIN,60727921,MTs,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
MTSS NAHDLATUL ULAMA (NU),60727922,MTs,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
AL-IKRAM,69995590,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA HIKMATUL BASYIROH,70027391,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA RA YUSRIYAH,69730248,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA TUNAS AL-IKHLAS,70042691,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA. AL-IHSAN MULIA,69883731,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA. MIFTAHUL HUDA,69883736,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL HUDA,69730236,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AL ISHLAH,69730237,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA ALIF,69730238,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA AN-NAJWA,69730232,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA ANNYSA,69730235,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA CENDEKIA,69730242,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA ISLAMIYAH,69730243,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL ISLAM,69730244,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA NURUL KAWAKIB,69730245,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA RABBANI ISLAMIC SCHOOL,69730246,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
RA/BA/TA RAHMAT ISLAMIYAH,69730249,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
SULTAN ANDIRJA,69957834,RA,SWASTA,Kec. Medan Helvetia,076012,Kota Medan,076000,Prov. Sumatera Utara,070000,0,0,0,0,0,0,0,0,,
