nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N KUTA PASIE,10107385,SD,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,13,2,152,6,6,0,1,15,07 Apr 2026 09:33:19,812427EC246FCF7F5EF0
SD NEGERI 1 KLIENG,10107315,SD,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,11,3,145,8,9,0,1,18,01 May 2026 23:18:06,5DDC44AF5C8E18C273B8
SD NEGERI 2 KLIENG,10107330,SD,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,8,2,117,6,6,0,1,25,11 Mar 2026 08:28:23,BAF514305665690A2441
SD NEGERI DEAH RUNGKOM,10100299,SD,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,10,3,92,6,6,0,1,20,14 Apr 2026 13:18:51,F085E29F9CA880E819F9
SD NEGERI KAJHU,10100296,SD,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,19,3,342,13,13,0,1,15,08 Apr 2026 07:56:49,107346F1A4CCEDD3500F
SD NEGERI LABUY,10100146,SD,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,23,2,397,16,15,0,1,14,25 Apr 2026 09:16:45,32493058030CB2C5F424
SD NEGERI LAMBADA KLIENG,10107388,SD,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,21,4,389,14,12,1,1,20,30 Apr 2026 09:21:52,7DBA3A8069F58691F5D0
SD NEGERI MONSINGET,10107436,SD,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,11,1,126,6,6,0,1,13,13 Apr 2026 11:05:00,2E5D1EEECF162002385F
SD-IT Hafizul Ilmi,69933048,SD,Swasta,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,21,3,217,10,10,0,1,9,21 Apr 2026 13:36:05,38253ADC265447180B3B
SMP NEGERI 1 BAITUSSALAM,10107476,SMP,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,26,8,344,12,12,2,2,24,25 Apr 2026 06:36:29,FD3E34B3119B5119C864
SMP IT BINA MUTU CENDEKIA,70046047,SMP,Swasta,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,5,2,27,3,3,1,1,21,02 May 2026 12:50:24,6425383E72290C473E56
SMP-IT MADRASATUL QURAN,69973342,SMP,Swasta,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,6,1,24,3,3,1,1,21,05 Apr 2026 22:26:48,793DCA97F4B08DE5D633
SMA NEGERI 1 BAITUSSALAM,10100197,SMA,Negeri,Kec. Baitussalam,060118,Kab. Aceh Besar,060100,Prov. Aceh,060000,45,6,469,15,16,3,1,43,26 Apr 2026 09:42:44,741BAE2E9D35AD495EAC
