nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 TUALANG CUT,10104358,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,17,5,315,13,12,1,1,17,06 Apr 2026 18:48:59,864804074C9AFAA99D94
SD NEGERI 2 TUALANG CUT,10104463,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,16,5,359,13,15,0,1,14,24 Apr 2026 00:07:26,408B974E579DFB97517D
SD NEGERI ALUE SENTANG,10104480,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,11,3,128,6,6,0,1,18,29 Apr 2026 14:04:38,2E8A64BD93283B15D74E
SD NEGERI BUKIT PANJANG II,10104417,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,10,2,162,6,6,0,1,16,18 Apr 2026 09:03:05,80273B0AA1FF5733A7FD
SD NEGERI GELANGGANG MERAK,10104411,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,23,2,312,13,8,0,1,13,22 Apr 2026 09:18:01,B786817D56F4F3A9434A
SD NEGERI LHOK MEDANG ARA,10104236,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,10,4,162,6,7,0,1,12,16 Apr 2026 08:13:05,A83438DBC5077C349792
SD NEGERI LUNG MANYO,10104232,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,11,5,128,6,7,0,1,19,02 May 2026 18:54:50,69E9F7773856EA3D2DF2
SD NEGERI MATANG ARA JAWA,10104229,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,11,3,232,9,6,0,1,20,24 Apr 2026 08:59:09,D3E754D783937ECEAF4F
SD NEGERI MEUNASAH PAYA,10104226,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,13,3,180,8,7,0,1,24,04 Apr 2026 10:26:36,4C63FC7A63C2F425A87D
SD NEGERI PANDAN SARI,10104242,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,13,5,213,10,8,0,1,12,23 Apr 2026 11:43:05,85C6770095812AC20407
SD NEGERI RAJA TUHA,10104202,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,10,5,188,6,6,0,1,12,21 Apr 2026 10:49:11,22B5CFBCED394A8FECC2
SD NEGERI SAPTA MARGA,10104188,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,8,3,87,6,7,0,1,14,28 Apr 2026 22:23:22,D3796ACE02C510E4F8D0
SD NEGERI SEUNEUBOK CANTEK,10104193,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,9,2,113,6,6,0,1,11,28 Apr 2026 15:56:35,3088B258DDEB48283087
SD NEGERI SIMPANG TIGA,10104205,SD,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,14,4,219,10,9,0,1,14,04 Mar 2026 10:02:52,E4E1685CDA9ED0E3F056
SD MUHAMMADIYAH LEMBAH JAYA,10104336,SD,Swasta,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,5,4,39,6,5,0,1,20,30 Apr 2026 19:41:07,C7AE77464CE76B7ABA9C
SD SWASTA BUKIT PANJANG 1,10104327,SD,Swasta,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,6,3,96,6,6,0,1,33,02 May 2026 18:06:56,833F384067F209489DB3
SMP NEGERI 1 MANYAK PAYED,10104291,SMP,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,30,19,579,19,27,4,2,16,21 Apr 2026 09:56:42,CD360609C1FE073C0BE8
SMP NEGERI 2 MANYAK PAYED,10104284,SMP,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,18,12,146,6,6,2,1,15,16 Apr 2026 09:45:21,93C28E56E51CCF0FB856
SMP NEGERI 3 MANYAK PAYED,10107139,SMP,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,20,10,230,8,9,2,1,10,15 Apr 2026 09:23:22,190F9A6A10107FF2E2CA
SMP NEGERI 4 MANYAK PAYED,10107140,SMP,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,15,11,126,5,7,2,1,9,28 Apr 2026 11:48:11,F4AE95421ED5F1BF5F05
SMP NEGERI 5 MANYAK PAYED,10108081,SMP,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,13,6,127,6,9,2,1,21,20 Apr 2026 10:06:23,C365CA0F4DB322A703A2
SMA NEGERI 1 MANYAK PAYED,10104272,SMA,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,52,16,642,20,21,9,2,32,30 Apr 2026 08:54:44,0F6437D3D7AFC2EFE66E
SMA NEGERI 2 PATRA NUSA MANYAK PAYED,10104315,SMA,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,27,12,287,10,11,5,1,44,30 Apr 2026 11:05:13,E3DE2726A736D89EA177
SMA Negeri 3 Manyak Payed,69948100,SMA,Negeri,Kec. Manyak Payed,061407,Kab. Aceh Tamiang,061400,Prov. Aceh,060000,22,9,134,6,8,2,1,20,09 Mar 2026 10:34:55,FEF720ABB9E69D01FD2A
