nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 BINTANG,10102317,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,14,2,84,6,6,0,1,35,30 Apr 2026 15:37:25,286E7AADC40DD38B3E17
SDN 10 BINTANG,10102238,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,12,3,56,6,6,0,0,23,24 Apr 2026 10:47:35,664B243AD8B13DFAED83
SDN 11 BINTANG,10112413,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,12,3,31,6,6,0,1,15,29 Apr 2026 19:06:00,E5AEE3D69DFC0991F582
SDN 12 BINTANG,10111921,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,12,3,34,6,6,0,1,29,01 May 2026 10:19:45,CE2A2A2776C1E24CA79A
SDN 13 BINTANG,10111346,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,13,1,29,6,6,0,0,4,13 Mar 2026 11:01:07,0C312D297BB12AB27CA2
SDN 2 BINTANG,10102415,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,12,2,109,6,6,0,1,32,11 Mar 2026 09:49:41,53F1279A2BD53602110A
SDN 3 BINTANG,10102355,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,23,2,223,12,12,1,1,29,21 Apr 2026 10:38:05,5C55DFADFE122F034EC5
SDN 4 BINTANG,10102218,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,15,2,69,6,6,0,0,6,24 Apr 2026 22:37:16,5BE240D2D78956808A2E
SDN 5 BINTANG,10102405,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,12,2,98,6,6,0,1,45,27 Apr 2026 08:42:00,D01C17F49F00F39ECBCC
SDN 6 BINTANG,10102425,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,14,3,69,6,6,0,1,17,01 May 2026 10:29:24,09BA24ACDD824FC50457
SDN 7 BINTANG,10102420,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,10,1,96,6,6,0,1,9,26 Feb 2026 20:06:35,2E36B35D7041C18FBBDE
SDN 8 BINTANG,10102411,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,15,2,96,6,6,0,1,34,02 May 2026 16:45:54,14617765AE34A2ACC7E0
SDN 9 BINTANG,10102462,SD,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,14,2,51,6,6,0,0,6,06 Mar 2026 23:49:35,5C2D300515C117006CE0
SMPN 27 TAKENGON,10107505,SMP,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,17,4,22,3,3,1,1,19,16 Apr 2026 15:05:59,A6DA2AA642DEAC1E7BFD
SMPN 29 TAKENGON,10110648,SMP,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,17,3,59,3,4,1,0,15,16 Apr 2026 14:54:11,605097BC997FB590A6FB
SMPN 9 TAKENGON,10102253,SMP,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,20,5,66,3,12,1,1,36,03 Mar 2026 10:51:50,D9B949A4D785259E1CB1
SMPS TERPADU AL-HASANIYAH,69938369,SMP,Swasta,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,10,2,131,6,3,0,1,21,13 Apr 2026 18:29:15,8D6AA861E7453AC2F29B
SMA NEGERI 7 TAKENGON,10102284,SMA,Negeri,Kec. Bintang,060502,Kab. Aceh Tengah,060500,Prov. Aceh,060000,27,4,193,7,17,4,1,28,23 Apr 2026 08:33:06,3F216F643F6424648BB7
