nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 LUT TAWAR,10102358,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,19,2,185,11,6,0,1,30,25 Apr 2026 09:35:20,A35074ADC087E4AA08EA
SDN 10 LUT TAWAR,10102313,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,11,5,124,7,12,0,1,27,29 Apr 2026 09:55:40,6CA4A3FA0CC31A585415
SDN 2 LUT TAWAR,10102166,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,11,3,81,6,6,0,1,27,28 Apr 2026 11:46:00,55B5DF174524A97BEADC
SDN 3 LUT TAWAR,10107163,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,12,2,86,6,6,0,0,20,17 Apr 2026 21:55:05,EBCE60B4FE0613A3ED20
SDN 4 LUT TAWAR,10102336,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,15,3,117,7,7,0,1,8,05 Mar 2026 08:36:46,506224EC08E4DCFB51D0
SDN 5 LUT TAWAR,10102401,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,11,2,21,6,6,0,1,29,30 Apr 2026 14:16:10,24EC0208B48E5935D649
SDN 6 LUT TAWAR,10102167,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,10,1,120,6,6,0,0,31,25 Apr 2026 22:41:54,85FB649722265AD8899F
SDN 7 LUT TAWAR,10102447,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,15,3,99,6,6,0,1,26,27 Apr 2026 09:20:33,849CDE9E94E0EDAADF09
SDN 8 LUT TAWAR,10102465,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,19,1,249,12,6,0,0,15,27 Apr 2026 14:50:37,763C106E283134D8F43A
SDN 9 LUT TAWAR,10102332,SD,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,25,5,293,13,7,0,0,47,30 Apr 2026 10:02:27,6E766E9ADB0DD9E4A79E
SDYAYASAN PENDIDIKAN ISLAM,10102322,SD,Swasta,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,11,2,44,6,6,0,1,20,12 Apr 2026 18:15:40,C701F73F31DED497BCC1
SMPN 1 TAKENGON,10102188,SMP,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,71,13,923,30,30,6,1,46,16 Apr 2026 11:18:27,E262BD49981532D5793E
SMPN 2 TAKENGON,10102182,SMP,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,31,13,264,9,10,3,1,50,02 May 2026 17:48:53,129C7DC1BA16C4CFD795
SMPN 22 TAKENGON,10107507,SMP,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,18,3,35,3,6,1,1,27,19 Apr 2026 23:06:55,A3ED94FE6D32A38BC395
SMPN 4 TAKENGON,10102274,SMP,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,48,6,565,19,21,2,1,47,02 May 2026 10:04:40,AEAE1480EC2C130E32A6
SMPIT AZ ZAHRA,69953709,SMP,Swasta,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,17,2,150,6,3,1,1,23,28 Apr 2026 10:03:07,8727F4212B80D6F66284
SMA IT AZ-ZAHRA TAKENGON,70061520,SMA,Swasta,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,ED191B80D5C11819E7CD
SMK Negeri 5 Takengon,70003115,SMK,Negeri,Kec. Laut Tawar,060524,Kab. Aceh Tengah,060500,Prov. Aceh,060000,35,7,137,11,14,0,1,18,22 Apr 2026 09:18:34,080DAFEA2FD308132003
