nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI MUARA SITULEN,10103040,SD,Negeri,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,19,1,309,13,12,1,1,50,23 Apr 2026 12:57:57,938B26298E84A18D5108
SD NEGERI NAGA TIMBUL BUN BUN ALAS LIANG PANGI,10103038,SD,Negeri,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,18,1,118,12,12,1,1,86,02 May 2026 18:39:12,0A0491B62F420A79DC75
SD NEGERI TITI PANJANG GAJAH MATI,10103006,SD,Negeri,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,19,1,200,10,8,1,1,88,24 Apr 2026 12:25:44,7D50B49900A84F3CBBC7
SD SWASTA BINA BANGSA,10110316,SD,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,10,1,57,6,6,0,0,80,30 Apr 2026 16:22:45,FB6DF00022A46F400D1F
SD SWASTA BUKIT BINTANG INDAH,10110320,SD,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,10,1,45,6,6,0,0,60,26 Apr 2026 05:45:17,48E105B1C33E24D67181
SD SWASTA BUKIT SELAMAT,10110317,SD,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,6,2,89,6,9,1,1,38,01 May 2026 23:07:00,95B018546A87A3DAE0A9
SD SWASTA GUNUNG NIAS,10110319,SD,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,13,3,104,6,3,0,0,47,27 Apr 2026 09:47:13,C96DB7720A12B736BA2D
SD SWASTA LAU TAWAR,10110318,SD,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,6,1,30,6,6,0,0,44,01 May 2026 23:51:47,D7D36B9E0EEF97E6341C
SD SWASTA LAWE SERAKUT,10113649,SD,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,8,1,44,6,6,0,0,38,01 May 2026 22:53:23,3AE4C37D58578F78AE6A
SD SWASTA LEBOH KABO,10110314,SD,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,6,1,34,6,6,0,1,32,02 May 2026 01:10:19,43EA4042C4C92A8DDDAD
SD SWASTA SADA ARIH,10111835,SD,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,7,2,94,6,6,0,0,25,01 May 2026 23:25:05,A41BDAC507F169540210
SMP NEGERI 1 LEUSER,69946375,SMP,Negeri,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,14,1,104,5,5,2,1,14,17 Apr 2026 16:47:06,3380AF39DF88B7B5A6A2
SMP NEGERI 6 LAWE SIGALA-GALA SATAP,10111372,SMP,Negeri,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,13,0,16,3,3,0,1,12,30 Mar 2026 10:05:52,CBB992AB857844FBA109
SMP NEGERI 8 LAWE SIGALA-GALA SATAP,10110644,SMP,Negeri,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,8,1,26,3,3,1,1,67,22 Apr 2026 16:41:44,B6064CF3606B008F2D33
SMP NEGERI 9 LAWE SIGALA-GALA SATAP,10111362,SMP,Negeri,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,14,1,14,3,3,1,1,44,22 Apr 2026 22:26:30,15B128867B7C42BE12B1
SMP SWASTA GUNUNG NIAS,10113142,SMP,Swasta,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,4,1,35,3,3,0,0,56,02 May 2026 14:29:14,483530F6242E1D2F6676
SMA NEGERI 1 LEUSER,69896979,SMA,Negeri,Kec. Lueser,060826,Kab. Aceh Tenggara,060800,Prov. Aceh,060000,14,2,77,3,4,1,1,25,01 May 2026 14:14:31,7A779EECAFAFEEBA531B
