nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 ALUE IE MIRAH,10101966,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,19,4,264,12,10,0,1,19,22 Apr 2026 22:17:37,E6B7CE1672CF8F651D0B
SDN 1 BLANG NISAM,10102090,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,16,2,206,10,6,0,2,19,17 Apr 2026 09:54:08,28D7713F8AC3D6974407
SDN 1 JAMBO LUBOUK,10101830,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,8,3,127,6,7,0,0,15,06 Mar 2026 16:54:22,679DB69DC77AE6B11A30
SDN 1 JULOK RAYEUK SELATAN,10102144,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,8,2,81,6,6,0,0,21,10 Mar 2026 01:29:43,A3E07254A2A40B553AD5
SDN 1 JULOK RAYEUK UTARA,10101987,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,9,2,41,6,6,0,0,21,25 Mar 2026 23:30:23,74920B0918E6DC8CCF6B
SDN 2 ALUE IE MIRAH,10102104,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,10,3,63,6,6,0,0,32,30 Apr 2026 21:29:38,40ABF6412F08A036D066
SDN 2 BLANG NISAM,10110387,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,9,1,21,6,6,0,0,5,16 Apr 2026 09:47:12,019D080BBACBA6E7BB4E
SDN 2 JAMBO LUBOUK,69787510,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,11,2,142,6,7,0,0,36,23 Apr 2026 10:21:14,E2ACF55C880F01C77EC1
SDN 2 JULOK RAYEUK SELATAN,10101756,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,6,1,26,5,4,0,0,34,15 Apr 2026 15:48:12,D8C27EFBD283DA3CDA8E
SDN 2 JULOK RAYEUK UTARA,10102125,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,10,0,106,6,6,0,1,7,09 Apr 2026 17:32:49,B2F6132E7CAE6920DF00
SDN 3 BLANG NISAM,10110384,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,7,3,20,6,6,0,0,11,17 Apr 2026 23:16:14,AA72E739BC48BF9C2E92
SDN 3 JULOK RAYEUK UTARA,10102147,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,11,3,181,7,9,0,1,48,28 Apr 2026 13:52:50,0C8B10BFBF95CA060B50
SDN 4 JULOK RAYEUK UTARA,10102140,SD,Negeri,Kec. Indra Makmur,060425,Kab. Aceh Timur,060400,Prov. Aceh,060000,7,3,36,6,6,0,0,6,28 Apr 2026 15:51:13,58447D47B322ADB7BB1A
