nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI AMOR,10107219,SD,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,15,2,183,10,9,0,0,28,20 Apr 2026 09:18:27,4A82A129FD2EC1616336
SD NEGERI CEMPARAM,10107226,SD,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,10,3,75,6,6,0,1,19,17 Apr 2026 11:10:16,FAE2DCD4D7A61804B3EB
SD NEGERI JAMUR ATU,10107231,SD,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,16,2,238,12,13,0,0,36,18 Apr 2026 11:28:57,E45AC567CE241BBA35DC
SD NEGERI PANTAN KULI,10113140,SD,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,8,2,31,6,6,0,1,19,27 Apr 2026 08:13:23,AD60057FFF92EECA3DD0
SD NEGERI PEPARA,10107254,SD,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,9,3,88,6,6,1,1,12,08 Apr 2026 09:39:54,7C04457BC3BC03000516
SD NEGERI SIMPUR,10113141,SD,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,8,1,87,6,7,0,1,24,02 May 2026 17:42:31,C64BECF760512DB72A60
SD NEGERI WER TINGKEM,69880818,SD,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,8,3,71,6,7,0,0,11,04 Mar 2026 18:09:56,B710EA24DE0328524D87
SD NEGERI WIH RESAP,10105193,SD,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,11,2,92,6,6,0,1,9,20 Apr 2026 21:32:17,747DC2B72989C82C1066
SMP NEGERI 2 SYIAH UTAMA,10110756,SMP,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,11,4,69,3,4,2,1,16,27 Apr 2026 19:27:10,79B6C1D1617580586F24
SMP NEGERI 3 SATU ATAP SYIAH UTAMA,10110753,SMP,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,10,2,51,3,4,1,1,20,20 Apr 2026 10:18:00,6BF79E6A8E52DECF0FD4
SMP NEGERI 4 SATU ATAP CEMPARAM,69725892,SMP,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,12,2,23,3,3,0,1,18,10 Apr 2026 08:05:53,B7C916553BBAE3B95B3E
SMP NEGERI 5 SATU ATAP WIH RESAP,69725878,SMP,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,12,2,31,3,3,1,0,24,21 Apr 2026 06:00:20,E0690C127C9C32D045AA
SMP PERSIAPAN SWASTA SIMPUR,70059269,SMP,Swasta,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,0,0,0,0,0,0,0,0,,AABDA565696F3D4DE250
SMA NEGERI 1 MESIDAH,60724680,SMA,Negeri,Kec. Mesidah,061909,Kab. Bener Meriah,061900,Prov. Aceh,060000,18,4,92,3,3,1,1,12,06 Mar 2026 02:37:09,3B84A76D1037224CD22B
