nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 2 JABI JABI,10113235,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,10,1,137,6,7,0,1,16,30 Apr 2026 13:39:29,8BC65A76366E6FB3F8CF
SD NEGERI BATU NAPAL,69947873,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,12,2,120,6,6,1,1,24,02 May 2026 16:33:23,1382D18D9E0EFA678A36
SD NEGERI BAWAN,69888605,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,10,1,70,6,7,0,0,27,22 Apr 2026 16:23:45,7035BD8FF370442237BD
SD NEGERI GUNUNG BAKTI,10104160,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,13,1,185,7,7,0,1,19,11 Apr 2026 09:53:44,9400417BBE32AD0AE201
SD NEGERI JABI-JABI,10104149,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,10,1,128,6,7,0,1,22,30 Apr 2026 12:12:26,DCA8A42B9D9CAD93AA11
SD NEGERI JAMBI BARU,10104148,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,24,1,376,14,12,0,1,18,17 Apr 2026 10:37:04,B925ADFA394059F89495
SD NEGERI KUTA GARA,10107709,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,12,3,149,7,7,0,1,40,06 Mar 2026 21:25:40,1EBB4A3EBDD2F461DBF3
SD NEGERI LAE LANGGE,10108176,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,16,0,189,10,8,1,1,15,10 Apr 2026 23:36:03,C344DBD313F0D244FD65
SD NEGERI LAE SIMOLAP,10107751,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,8,1,80,6,7,0,1,20,02 May 2026 16:29:30,6997DE85C2DA89C5C5E2
SD NEGERI NAMO BUAYA,10103995,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,9,1,187,7,7,1,1,73,30 Apr 2026 12:36:08,2440E92D405CD458C6C9
SD NEGERI PASIR BELO LAMA,10113246,SD,Negeri,Kec. Sultan Daulat,066404,Kota Subulussalam,066400,Prov. Aceh,060000,11,1,68,6,6,0,0,22,01 May 2026 19:49:35,CAA59AD06A0A4226BE6C
