nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 BANJARIRIGASI,20602127,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,10,2,386,12,12,0,1,16,08 Apr 2026 06:53:39,E8C5BBB8266FA2F31BE5
SDN 1 BANJARSARI,20602140,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,5,1,172,6,7,0,1,14,06 Apr 2026 09:02:48,4B2CFB653734D6E1AB43
SDN 1 CILADAEUN,20602381,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,8,2,218,7,6,0,1,1,16 Apr 2026 09:59:57,9D987DC508B96A3B1490
SDN 1 LEBAKGEDONG,20601720,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,12,4,361,11,10,0,1,10,09 Apr 2026 08:21:52,FAC87A4A59486D6FB14B
SDN 1 LEBAKSANGKA,20601718,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,4,2,132,6,6,0,0,11,11 Apr 2026 14:38:26,A231C39A68F0D9DEFA35
SDN 1 LEBAKSITU,20601716,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,7,1,234,7,6,0,1,23,02 Apr 2026 12:42:06,B89DFC5B86D220607F02
SDN 2 BANJARIRIGASI,20602126,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,14,1,288,12,11,0,1,25,30 Mar 2026 10:12:40,6F3DF1D283B470599C36
SDN 2 BANJARSARI,20622215,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,6,1,89,6,5,0,0,17,17 Apr 2026 08:32:47,7F34043801A81BFE9817
SDN 2 CILADAEUN,20602395,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,7,2,207,8,6,0,1,10,06 Apr 2026 06:19:18,8728E0DE1BCA3E7ADF11
SDN 2 LEBAKGEDONG,20601719,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,2,1,107,6,3,0,0,11,08 Apr 2026 22:53:45,DBB06CD9ED4CAE740BA9
SDN 2 LEBAKSANGKA,20601717,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,3,2,92,6,6,0,0,10,21 Apr 2026 14:34:59,D1F37A885CD6DFCF755E
SDN 2 LEBAKSITU,20601730,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,4,4,81,6,3,0,1,33,02 Apr 2026 11:09:57,1BB814AD7F99FBA33C0E
SDN 3 LEBAKSITU,20614981,SD,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,7,1,125,6,6,0,0,20,05 Apr 2026 10:24:52,67D8BC25B9E1AC31F8AE
SMPN 1 LEBAKGEDONG,20607882,SMP,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,11,4,184,7,13,2,1,4,02 Apr 2026 00:47:41,A358AF67B9135F8C4F81
SMPN 2 SATU ATAP LEBAKGEDONG,20613436,SMP,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,3,2,79,3,4,1,1,5,06 Apr 2026 09:24:09,7F70107FE3E26B911D08
SMPN 3 SATAP LEBAKGEDONG,69755910,SMP,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,7,1,85,3,3,1,1,12,13 Apr 2026 23:42:57,7BA1453557F9F5CA373D
SMPN 4 LEBAKGEDONG,69989633,SMP,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,8,1,116,5,8,1,1,11,17 Apr 2026 21:31:48,05F0DB98D2B5E2C066F3
SMP LA TANSA,20607853,SMP,Swasta,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,39,6,511,18,31,4,1,25,01 May 2026 22:54:52,0488FAB76C0C086DAF1F
SMPS DAARU AT-TAUFIQIYAH LEBAKGEDONG,20613928,SMP,Swasta,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,6,2,97,3,4,0,0,6,30 Mar 2026 12:33:59,859677FD71001DC4D929
SMA LA TANSA,20607856,SMA,Swasta,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,41,6,541,17,31,7,1,12,22 Apr 2026 21:38:48,4193BEDD74F01F7015A5
SMKN 1 LEBAKGEDONG,20614881,SMK,Negeri,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,14,6,157,6,6,2,1,16,30 Mar 2026 13:36:04,ACA8BED65D6BCB7A82BE
SMK LA TANSA LEBAKGEDONG,20613869,SMK,Swasta,Kec. Lebakgedong,280227,Kab. Lebak,280200,Prov. Banten,280000,22,8,104,6,13,3,1,27,30 Apr 2026 10:43:30,6A4043EA636C4B4B034B
