nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 CIPARASI,20602425,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,7,2,96,6,6,0,1,21,01 May 2026 20:25:26,DCAF89B71B87D59490AD
SDN 1 CIROMPANG,20602458,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,1,127,6,6,0,0,15,14 Apr 2026 17:51:06,BAC462A92D88BCAD0F5B
SDN 1 HARIANG,20601697,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,3,159,6,5,0,1,20,23 Apr 2026 23:22:23,94AA716DD7E85E553E76
SDN 1 MAJASARI,20601733,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,15,2,409,12,12,0,1,15,17 Apr 2026 08:03:00,FB14167AD87BBA8A37EC
SDN 1 SINARJAYA,20602403,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,1,95,6,6,0,1,13,04 Mar 2026 08:05:20,1B64924FDBD2AE06E5F0
SDN 1 SINDANGLAYA,20602039,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,7,1,94,6,6,0,0,25,30 Apr 2026 19:28:55,A032D42F9F108F204B7F
SDN 1 SOBANG,20601995,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,3,306,10,9,1,1,29,07 Apr 2026 23:09:04,F09729B59F024F1DF4DB
SDN 1 SUKAJAYA,20602015,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,1,153,6,6,0,1,81,23 Apr 2026 08:13:10,C52B82C44A6BB9709C2C
SDN 1 SUKAMAJU,20602011,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,12,2,286,12,10,0,1,34,14 Apr 2026 11:43:42,CCDFF828831D0C7FB1D3
SDN 1 SUKARESMI,20602053,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,2,192,6,6,0,0,21,29 Apr 2026 12:47:19,9D9FE44A7607F7B51E4A
SDN 2 CIPARASI,20602424,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,7,2,188,6,6,0,1,25,30 Apr 2026 08:47:43,F4534EE63BBEBA5AAE37
SDN 2 HARIANG,20601698,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,7,1,191,6,6,0,1,41,17 Apr 2026 08:39:10,B71D857E2E75BC274BF3
SDN 2 MAJASARI,20601715,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,1,131,6,6,0,0,9,04 Mar 2026 08:15:32,7E6C31863FDF16BABA0B
SDN 2 SINARJAYA,20602402,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,5,3,76,6,6,0,0,12,18 Apr 2026 22:58:30,BBABE84E3756ED529C24
SDN 2 SINDANGLAYA,20602052,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,2,146,6,7,0,1,31,21 Apr 2026 23:38:20,68E2CDA0FA266A12353A
SDN 2 SOBANG,20601994,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,7,2,88,6,6,1,1,44,27 Apr 2026 20:02:27,ED4CAD849AE53980B55D
SDN 3 HARIANG,20601712,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,7,1,80,6,6,0,0,28,10 Apr 2026 22:43:12,74B5CE708967727A6A22
SDN 4 HARIANG,20614013,SD,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,8,2,145,6,7,0,1,14,13 Apr 2026 16:19:13,330F2786BC4303993125
SMPN 1 SOBANG,20607880,SMP,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,15,2,180,7,13,1,1,24,28 Apr 2026 09:42:09,352365F1A1FEF2314925
SMPN 2 SOBANG,20601905,SMP,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,14,4,215,8,9,2,1,15,29 Apr 2026 08:50:32,A816A78D9BDF2C3B4B27
SMPN 3 SATU ATAP SOBANG,20613435,SMP,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,6,2,51,3,6,1,0,12,29 Apr 2026 10:02:20,7EDC66773B5271C54207
SMPN 4 SATU ATAP SOBANG,20615524,SMP,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,7,2,56,3,5,1,1,41,08 Apr 2026 15:41:05,D9028270D3FEDC17242B
SMPN 5 SOBANG,20616438,SMP,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,13,4,267,9,10,2,1,32,15 Apr 2026 11:39:12,BA894F0E1A7835E6E773
SMAN 1 SOBANG,20614150,SMA,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,22,8,435,14,16,2,1,30,30 Apr 2026 18:26:03,E6C9F836D904B02233F5
SMKN 1 SOBANG,69946179,SMK,Negeri,Kec. Sobang,280221,Kab. Lebak,280200,Prov. Banten,280000,23,14,312,15,9,3,1,22,13 Apr 2026 12:22:10,C1EBD65D7EA5803170E6
