nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BAROS 1,20605515,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,9,4,401,12,6,0,0,25,10 Apr 2026 09:49:43,34A1C38719D058605C49
SD NEGERI BAROS 2,20605523,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,8,4,284,8,5,0,0,12,09 Apr 2026 15:47:31,1FFA404C6094F3C64F56
SD NEGERI BAROS 3,20605524,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,9,2,277,9,8,0,0,17,04 Apr 2026 20:01:30,82230A98507392AB026F
SD NEGERI CISALAM,20606095,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,6,2,214,6,6,0,1,25,05 Apr 2026 19:53:31,3C936874095D3564310C
SD NEGERI DARAGEM,20606099,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,9,4,195,7,6,0,1,49,01 May 2026 22:09:05,D44CCFFB8FDF7F85F8EC
SD NEGERI KALI BUNTU,20605825,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,11,3,253,10,6,0,1,44,28 Apr 2026 14:20:26,E2A001333F9EEF9BA2F4
SD NEGERI PADASUKA,20605041,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,8,3,199,7,6,0,2,19,14 Apr 2026 22:55:39,6BCFF74EBCB3A29A2ECB
SD NEGERI PAGEDONGAN,20605033,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,6,5,139,6,6,0,1,51,02 May 2026 08:22:33,03DACC2487C873BA9088
SD NEGERI PANYIRAPAN,20604985,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,7,4,142,6,6,0,1,19,22 Apr 2026 08:05:54,F39470F664AFBF6B55B6
SD NEGERI PARUNG SENTUL,20604980,SD,Negeri,Kec. Baros,280405,Kab. Serang,280400,Prov. Banten,280000,7,4,244,7,6,0,1,25,30 Apr 2026 16:35:56,C08EFD798AB93FE38DA5
