nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N CIHERANG,20605988,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,8,4,249,9,10,0,1,11,13 Apr 2026 20:02:21,EBF8F5BA129093B9FAE2
SD N GUNUNGSARI 1,20605884,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,10,3,410,12,10,0,1,18,13 Apr 2026 11:39:18,3EF5B81E5187DCDC2B03
SD N GUNUNGSARI 2,20605885,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,3,2,6,6,6,0,0,5,18 Apr 2026 07:59:28,476BD69BD10384EC34CB
SD N GUNUNGSARI 3,20605886,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,5,4,178,6,6,0,0,8,04 Mar 2026 09:13:42,6BC33D87B189D3987EE2
SD NEGERI KAKABU,20605823,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,6,3,110,6,6,0,1,33,02 May 2026 08:28:24,DF2E8C2A9BDB609732B9
SD NEGERI KOPI,20605922,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,9,4,385,12,9,0,1,26,22 Apr 2026 11:02:17,4273834AC575ACDD32B0
SD NEGERI LUWUK,20604880,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,6,4,175,6,7,0,1,25,28 Apr 2026 10:48:46,E2DBD8EC1BA919B96650
SD NEGERI NAGREG,20604906,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,5,4,219,8,8,0,0,18,26 Apr 2026 17:44:04,6E54D703AAC376B9C684
SD NEGERI PASIRBUAH,20604737,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,9,3,307,11,9,0,2,21,14 Apr 2026 22:53:08,C649185C338765C9EB20
SD NEGERI SUKALABA 1,20605295,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,6,3,141,6,6,0,0,14,03 Mar 2026 10:08:20,6F8B6B392A17D01EEABD
SD NEGERI SUKALABA 2,20605286,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,8,4,192,6,5,0,0,12,27 Apr 2026 11:08:11,433D319F6B624F9BB992
SD NEGERI SUKAMAJU,20614356,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,4,5,249,7,6,0,1,8,23 Apr 2026 09:31:41,C5D1E23EC1989EE84837
SD NEGERI TALAGA,20605300,SD,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,5,3,264,8,6,0,1,7,03 Mar 2026 10:03:37,DE7B20D3CEF884C2E31F
SMP NEGERI 1 GUNUNGSARI,20615202,SMP,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,25,4,631,19,18,3,1,12,03 Apr 2026 18:27:19,CBCBE810639C505FA231
SMP NEGERI 2 GUNUNGSARI,20615743,SMP,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,9,3,172,6,6,3,1,20,29 Apr 2026 05:58:25,3437B4F02F2E493B45CB
SMP NEGERI 3 SATAP GUNUNGSARI,20615960,SMP,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,7,2,61,3,3,0,1,18,08 Apr 2026 11:04:53,337046AEA284C492B46F
SMPIT INSAN CITA SERANG,69962295,SMP,Swasta,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,9,2,85,4,5,2,1,17,30 Apr 2026 08:00:52,675A4F1C960873BA9CD6
SMAN 1 GUNUNG SARI,20613794,SMA,Negeri,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,25,7,379,12,12,4,1,17,08 Apr 2026 10:43:53,221B96511E3375DE98D0
SMAIT INSAN CITA SERANG,69992935,SMA,Swasta,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,10,2,39,3,3,1,1,21,28 Apr 2026 17:02:58,C5A8BA1A1667426A24B4
SMK AL MUAWANAH,69881570,SMK,Swasta,Kec. Gunung Sari,280433,Kab. Serang,280400,Prov. Banten,280000,14,6,296,9,15,0,0,26,29 Apr 2026 16:43:53,C69A73153C05C8ECAF1E
