nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N BUARAN ASEM,20604244,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,6,1,288,11,6,0,1,36,02 Apr 2026 12:31:30,53B9583FA787F5A3FA82
SD N KEDUNG DALAM II,20602905,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,7,2,235,6,7,1,1,16,09 Apr 2026 21:06:04,342D4EE41A4C68FD0550
SD N KETAPANG,20603078,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,13,5,488,14,16,0,1,57,09 Apr 2026 14:46:51,F426B667756BD4944B81
SD N MARGAMULYA,20603025,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,10,2,356,12,8,0,1,25,28 Apr 2026 09:13:08,E9A8EAE38D86D7226C21
SD N MAUK III,20603001,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,7,3,268,9,8,0,0,18,30 Mar 2026 17:32:05,52E7BBE1CFAF5BAFEA35
SD N MAUK IV,20603002,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,8,2,217,8,8,0,1,43,30 Mar 2026 13:58:24,283DE18B4621726E9893
SD N TANJUNG ANOM,20603446,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,11,2,289,10,10,0,1,13,06 Apr 2026 09:57:37,D804B4B07D308E46C94D
SD NEGERI BANYUASIH,20604554,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,12,1,560,13,13,0,1,28,28 Apr 2026 20:42:44,3EF7DDD9404AFFD1811B
SD NEGERI GUNUNGSARI,20604293,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,11,3,465,13,10,0,1,11,24 Apr 2026 13:20:52,6E052EEA30032AEBF345
SD NEGERI JATIGINTUNG I,20604335,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,8,2,303,8,8,0,1,16,16 Apr 2026 17:48:34,03D15FFD87CDE3E9F76D
SD NEGERI JATIGINTUNG II,20604336,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,8,2,292,8,8,0,0,18,24 Apr 2026 08:28:26,6A383066F9E8A1801D22
SD NEGERI JATIGINTUNG III,20604337,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,7,1,178,6,5,0,0,8,27 Apr 2026 09:15:40,5053F87797CECA853193
SD NEGERI JATIGINTUNG IV,20604338,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,6,2,200,6,7,0,0,21,26 Apr 2026 10:55:46,ED53487EB0EC21EC22EC
SD NEGERI KAROLINA,20613560,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,9,3,279,11,11,1,1,91,30 Apr 2026 23:07:31,FB213D2F8E79B7EDCFFB
SD NEGERI KEBON BARU,20602903,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,7,1,248,9,6,0,0,73,30 Apr 2026 10:29:47,3AE0B34359D7987D3650
SD NEGERI KEDUNG DALAM I,20602904,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,9,2,218,7,6,0,1,28,12 Apr 2026 00:48:56,192FD33067C024466EB3
SD NEGERI KEDUNG DALAM III,20602906,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,12,1,299,11,11,0,1,18,21 Apr 2026 08:14:49,1A079C6D4463EBCED88F
SD NEGERI MARGAHAYU,20603023,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,5,2,185,6,8,0,1,12,02 Mar 2026 21:33:56,89CDE32EC678331A8C20
SD NEGERI MAUK BARAT,20603013,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,9,3,250,10,10,1,1,81,01 May 2026 10:38:43,ECB8312AD317EA703169
SD NEGERI MAUK I,20602997,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,11,2,330,11,11,0,0,49,04 Mar 2026 22:50:55,611992A7853F7F790D65
SD NEGERI MAUK II,20602998,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,8,2,157,7,7,0,1,20,30 Apr 2026 10:22:29,208B94321B2E5DF92025
SD NEGERI SASAK I,20602773,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,10,1,260,11,11,0,1,41,27 Apr 2026 11:28:26,D1C463C06739021F2956
SD NEGERI SASAK II,20602774,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,12,2,470,13,11,0,1,41,02 Mar 2026 22:20:37,187A97DE60AFA9FAE5A0
SD NEGERI SETIA BHAKTI,20603480,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,5,2,209,6,8,1,1,21,22 Apr 2026 19:54:41,DB6C1C0BD939F57D6F2B
SD NEGERI TEGAL KUNIR KIDUL I,20603423,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,9,1,219,9,8,0,0,19,28 Apr 2026 09:24:02,89843CC68FB54BD1C869
SD NEGERI TEGAL KUNIR KIDUL II,20603424,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,9,2,346,11,11,0,1,78,28 Apr 2026 19:15:31,9F57D790F8DB369B411E
SD NEGERI TEGAL KUNIR LOR I,20603425,SD,Negeri,Kec. Mauk,280316,Kab. Tangerang,280300,Prov. Banten,280000,15,1,563,13,10,0,0,85,11 Apr 2026 04:52:09,D45DBDD4A98165812AC9
