nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 107 BENGKULU SELATAN,10701026,SD,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,12,3,96,6,6,0,1,18,23 Feb 2026 09:23:59,F5B2CC19BA152BA285CD
SDN 108 BENGKULU SELATAN,10701069,SD,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,12,4,93,6,6,0,2,30,25 Feb 2026 23:05:23,868A4748C0EC0C95FB80
SDN 110 BENGKULU SELATAN,10700927,SD,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,15,2,121,6,6,0,2,37,29 Apr 2026 09:22:37,DA290AEAA6B59BC360A5
SDN 111 BENGKULU SELATAN,10700881,SD,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,13,1,53,6,7,0,1,21,15 Apr 2026 09:07:24,C0D01D76B747BFC60EB7
SDN 112 BENGKULU SELATAN,10701059,SD,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,10,1,89,6,6,0,1,24,02 Mar 2026 10:52:29,AC36CFAF8EBEA01F4698
SDN 113 BENGKULU SELATAN,10703256,SD,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,15,1,101,6,7,0,1,27,14 Apr 2026 23:17:39,274F950EDFF02EA5EB4E
SDN 114 BENGKULU SELATAN,10700930,SD,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,9,1,64,6,6,0,1,21,29 Apr 2026 10:31:19,1B0CCB58EAF03944EE1F
SDN 115 BENGKULU SELATAN,10701019,SD,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,19,3,28,6,6,0,1,36,02 Apr 2026 03:41:14,F30CCFBC0202A82599F0
SMPN 11 BENGKULU SELATAN,10700945,SMP,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,25,5,202,8,11,2,1,38,30 Apr 2026 20:26:24,706F3C2F195BF3E282FE
SMPN 23 BENGKULU SELATAN,10700937,SMP,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,19,7,129,6,6,1,1,34,12 Apr 2026 05:51:04,466B4779B6B4DA86731A
SMPN 26 BENGKULU SELATAN,10703201,SMP,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,14,4,59,3,3,1,2,31,16 Apr 2026 08:45:05,0BB0717CE277FB010FED
SMA NEGERI 11 BENGKULU SELATAN,69988383,SMA,Negeri,Kec. Ulu Manna,260323,Kab. Bengkulu Selatan,260300,Prov. Bengkulu,260000,30,9,95,3,3,1,1,25,28 Apr 2026 09:29:47,E14BFE8E7860AA388D15
