nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BAWURAN,20400631,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,17,3,269,12,10,1,1,81,30 Apr 2026 08:33:54,94B177E482D4A100A447
SD NEGERI BRAJAN,20403522,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,13,4,174,9,9,1,1,12,04 Apr 2026 17:51:35,99B33D3B7C46165A861D
SD NEGERI CEGOKAN,20400629,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,8,2,75,6,6,0,1,6,06 Apr 2026 11:01:56,0082F9D505B56D013972
SD NEGERI DAHROMO,20400699,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,8,3,80,6,6,1,1,8,03 Mar 2026 08:59:19,451B6FBC619E2F0FBAE0
SD NEGERI JEJERAN,20400538,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,28,5,577,20,20,1,1,27,13 Apr 2026 13:43:36,9AB27B8A5DC0C20CC9BE
SD NEGERI KANGGOTAN,20400221,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,10,2,180,8,8,1,1,12,14 Apr 2026 10:06:51,183C4D7C29C110D8AE05
SD NEGERI KARANGGAYAM,20400227,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,8,3,91,6,6,1,1,12,03 Mar 2026 16:26:03,1DD36F9F71032377A2D0
SD NEGERI KAUMAN,20400792,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,15,4,327,12,14,1,1,15,22 Apr 2026 08:08:18,2C71879D2370440D7895
SD NEGERI KEDUNGPRING,20400204,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,9,2,182,7,6,0,1,14,13 Apr 2026 11:54:44,9C77F1EECFBC993D79A7
SD NEGERI PUNGKURAN,20400143,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,15,5,182,10,10,1,1,16,16 Apr 2026 20:17:15,0FCF4ECEFE893BAB0DA3
SD NEGERI PUTREN,20400517,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,17,5,289,12,9,1,1,35,23 Apr 2026 13:02:28,6234B95C7A8372E727DA
SD NEGERI SEGOROYOSO,20400108,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,11,5,210,9,10,2,1,12,02 Apr 2026 11:20:29,2FD737F32B4129746FA3
SD NEGERI SRUMBUNG,20400130,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,8,1,105,6,7,1,2,11,06 Apr 2026 12:30:14,311420A39051E802EC06
SD NEGERI WONOLELO,20400161,SD,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,8,4,145,6,6,0,1,11,27 Apr 2026 10:36:17,2139A1BCE8336AC88D10
SD MUHAMMADIYAH BOJONG,20400599,SD,Swasta,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,8,3,49,6,6,0,1,11,30 Apr 2026 07:54:56,61792689CFC74CC58D0B
SD MUHAMMADIYAH PANDES,20400490,SD,Swasta,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,17,5,322,12,12,1,1,26,23 Apr 2026 10:25:54,41860443EBAEE67DE33A
SD MUHAMMADIYAH WONOKROMO I,20400468,SD,Swasta,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,9,4,118,6,6,1,2,18,22 Apr 2026 11:11:28,2A95D020A5B86636665B
SD MUHAMMADIYAH WONOKROMO II,20400476,SD,Swasta,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,7,3,120,6,6,2,2,10,09 Apr 2026 10:19:43,647EC771CF3D8E35343E
SDNU PEMANAHAN,70001474,SD,Swasta,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,7,3,126,6,6,0,1,18,06 Apr 2026 10:47:38,1BFAAD53D834982519FF
SMP NEGERI 1 PLERET,20400368,SMP,Negeri,Kec. Pleret,040111,Kab. Bantul,040100,Prov. D.I. Yogyakarta,040000,38,11,662,21,21,5,1,55,17 Apr 2026 11:29:45,6A5AFD71184B92787545
