nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BANGIREJO I,20403492,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,17,4,220,11,11,1,1,36,22 Apr 2026 10:11:32,BDAAD32F8FE0EB718204
SD NEGERI BANGUNREJO 1,20403494,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,11,4,127,6,14,2,2,17,17 Apr 2026 09:33:24,08DDE76077A13FC30775
SD NEGERI BENER,20403485,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,8,4,128,6,6,2,1,40,28 Apr 2026 08:52:43,435B436FEF56ACA74F69
SD NEGERI BLUNYAHREJO,20406569,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,8,4,160,6,6,1,1,23,08 Apr 2026 09:09:47,C92A85AD16EFA1EC725C
SD NEGERI KARANGREJO,20403499,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,9,4,87,6,6,1,1,22,28 Apr 2026 14:12:07,057E684183AF96FACCBA
SD NEGERI PETINGGEN,20403462,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,16,4,293,12,12,1,1,26,15 Apr 2026 13:32:51,3BCB5538EB5BB79C21D6
SD NEGERI PINGIT,20403445,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,9,3,67,6,6,1,1,20,16 Apr 2026 13:06:24,32C03E6CE4A44A00D43D
SD NEGERI TEGALREJO 2,20403192,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,18,5,337,12,12,2,1,17,30 Mar 2026 09:19:15,70D9B1FFD980C4B076A9
SD NEGERI TEGALREJO 3,20403204,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,17,5,326,12,12,1,1,17,09 Apr 2026 09:26:16,A7035AAFC764E7AC7510
SD NEGERI TEGALREJO I,20403191,SD,Negeri,Kec. Tegalrejo,046014,Kota Yogyakarta,046000,Prov. D.I. Yogyakarta,040000,19,5,335,12,12,2,1,40,07 Apr 2026 16:05:16,01D9B84CDA343AD31DFC
