nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI CIPETE UTARA 01 PAGI,20103126,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,15,2,363,13,13,1,1,31,22 Apr 2026 15:24:52,2A2D85F93889CB8530B4
SD NEGERI CIPETE UTARA 09,20105862,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,29,4,584,23,26,1,1,22,28 Apr 2026 08:44:55,9EC1BF3A41355B3523E8
SD NEGERI CIPETE UTARA 13 PAGI,20105866,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,13,4,318,12,12,1,1,17,07 Apr 2026 07:36:52,FE5365973FB703881860
SD NEGERI CIPETE UTARA 15 PAGI,20105868,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,19,4,487,16,17,1,3,34,03 Apr 2026 01:39:30,E958F59910E0DE8E89BA
SD NEGERI GANDARIA UTARA 08 PAGI,20105895,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,9,3,201,7,6,0,1,1,02 Apr 2026 20:35:55,1F00125EBE65A97773FF
SD NEGERI GUNUNG 05,20105927,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,15,4,367,12,12,1,1,19,06 Apr 2026 06:15:37,FCE89056ED545097ED99
SD NEGERI KRAMAT PELA 09 PAGI,20102321,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,22,4,476,17,18,1,1,23,30 Apr 2026 13:03:35,A1D90D5388FDAE6336C6
SD NEGERI PULO 01,20106164,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,23,4,544,20,25,3,1,19,09 Apr 2026 11:34:25,40AF38B6173F7B341012
SD NEGERI PULO 07 PG,20109298,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,8,3,165,6,6,2,1,19,02 Apr 2026 15:44:22,124DBDC7BE339CB42713
SD NEGERI RAWA BARAT 05,20102156,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,20,3,456,16,17,1,1,21,09 Apr 2026 12:48:29,A5598F08F645B2667DB6
SD NEGERI RAWA BARAT 09 PAGI,20106184,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,8,4,164,6,6,2,1,15,07 Apr 2026 15:40:44,7E46C3D17E72368CB673
SDN CIPETE UTARA 05 PAGI,20105860,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,10,4,213,9,11,3,3,9,02 Mar 2026 20:07:24,B128CE99E608AB0CD015
SDN GANDARIA UTARA 01 PAGI,20105887,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,8,3,146,6,6,1,1,12,25 Feb 2026 08:44:50,2069F3FB870A7FAD5F14
SDN GANDARIA UTARA 03 PAGI,20105891,SD,Negeri,Kec. Kebayoran Baru,016306,Kota Adm. Jakarta Selatan,016300,Prov. D.K.I. Jakarta,010000,21,3,517,18,19,1,1,38,09 Apr 2026 11:24:29,474A9FA61C71D6DFBAA1
