nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BALIMESTER 01 PG,20108665,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,12,4,331,11,9,1,1,22,06 Mar 2026 06:57:52,E700138918B2B57628A8
SD NEGERI BALIMESTER 06 PG,20108976,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,21,5,518,17,18,1,1,24,02 Apr 2026 11:35:05,D2FF27D214DC44F0CE5D
SD NEGERI BIDARACINA 03 PG,20108387,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,14,4,325,11,13,0,1,38,22 Apr 2026 12:42:44,EF62B6A5ADA08C78EFA6
SD NEGERI BIDARACINA 05 PG,20108389,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,17,4,428,14,14,1,1,11,09 Apr 2026 07:11:33,69A79EC4792E5D8B1C12
SD NEGERI CIPINANG BESAR SELATAN 01 PAGI,20108393,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,14,4,306,12,11,0,1,10,02 Apr 2026 06:24:02,A7E1E544401EAE7EFDAB
SD NEGERI CIPINANG BESAR SELATAN 02 PG,20108400,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,8,3,117,6,6,0,1,13,15 Apr 2026 13:34:55,2DCB54EEBFF06B9B4C5B
SD NEGERI CIPINANG BESAR SELATAN 04,20108401,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,11,2,206,8,12,1,1,23,02 Apr 2026 12:22:42,7C6E1E7F69D56028275F
SD NEGERI CIPINANG BESAR SELATAN 05 PG,20108402,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,15,4,332,12,12,3,1,18,10 Apr 2026 07:19:39,7FBA4E75B0267F53013F
SD NEGERI CIPINANG BESAR SELATAN 15 PG,20108445,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,14,5,376,12,12,3,1,13,14 Apr 2026 20:19:10,0D3EFE535DE676E8EAC4
SD NEGERI CIPINANG BESAR SELATAN 17 PG,20108447,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,8,4,145,7,9,1,1,14,06 Mar 2026 07:48:20,F70823F15F36EDB02070
SD NEGERI CIPINANG BESAR SELATAN 20,20108450,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,16,6,295,12,12,2,1,18,10 Mar 2026 11:27:08,F254D89BA2008B647713
SD NEGERI CIPINANG BESAR UTARA 05,20108455,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,23,4,550,19,12,1,1,12,10 Apr 2026 09:07:17,BAD7E1DA6D5DC783C1BC
SD NEGERI CIPINANG BESAR UTARA 08,20108459,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,25,5,566,20,14,0,1,13,10 Apr 2026 14:28:53,24029A2EFD597686F566
SD NEGERI CIPINANG BESAR UTARA 09 PG (SEKOLAH STAN,20108460,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,15,5,383,12,10,2,1,36,30 Apr 2026 13:16:06,C765BBC7B025E1158853
SD NEGERI CIPINANG BESAR UTARA 10 PAGI,20108461,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,12,5,335,11,8,0,1,16,08 Apr 2026 13:02:02,F16FD93CA719546FB002
SD NEGERI CIPINANG BESAR UTARA 11 PG,20108462,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,16,4,370,12,8,2,1,11,09 Apr 2026 14:07:37,C6FA5C327FBA6345DA8A
SD NEGERI CIPINANG CEMPEDAK 02 PAGI,20108521,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,14,3,338,11,8,2,1,22,15 Apr 2026 09:22:02,D75050BA522B1D910517
SD NEGERI CIPINANG CEMPEDAK 04,20108523,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,14,4,349,12,12,2,1,10,16 Mar 2026 06:49:20,40947592BD5DA925442E
SD NEGERI CIPINANG CEMPEDAK 05,20108524,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,16,4,346,13,13,2,1,24,15 Apr 2026 08:38:50,E40DF4F5F9315EC03D1E
SD NEGERI CIPINANG CEMPEDAK 07,20108526,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,16,4,333,12,12,2,1,17,08 Mar 2026 12:57:50,B23D91492113FDB05736
SD NEGERI CIPINANG CEMPEDAK 09 PAGI,20108528,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,10,4,264,9,8,0,1,35,27 Apr 2026 13:27:26,F7AE071E27E12EEEBF23
SD NEGERI CIPINANG MUARA 04,20108532,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,16,4,327,12,14,1,1,10,01 Mar 2026 19:24:22,683017C7EA0386F9E900
SD NEGERI CIPINANG MUARA 07,20108535,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,15,5,420,14,14,1,1,13,07 Apr 2026 13:15:24,1641F014224ECD8F450A
SD Negeri Cipinang Muara 14 Pagi,20108540,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,12,4,287,10,8,0,1,22,10 Apr 2026 09:51:53,146E738B1D0BA2898388
SD NEGERI CIPINANG MUARA 15 PAGI,20108541,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,11,3,267,10,8,0,1,33,27 Apr 2026 08:46:41,8FF5F750DB4EF14141B1
SD NEGERI CIPINANG MUARA 16 PAGI,20108547,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,12,4,297,10,7,1,1,19,31 Mar 2026 14:49:48,C0A1B4E27A5E25083571
SD NEGERI CIPINANG MUARA 17 PAGI,20108548,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,10,4,193,7,14,0,3,22,29 Apr 2026 07:14:23,A4BEB6493FA36A6D5BC2
SD NEGERI CIPINANG MUARA 19 PG,20108550,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,8,4,170,6,8,1,1,54,06 Mar 2026 20:07:15,02FAC514BF285D2AAC25
SD Negeri Cipinang Muara 20 Pg.,20108551,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,8,2,112,6,8,1,1,14,11 Mar 2026 09:16:15,0DABCA64DF2DB4DAC849
SD NEGERI KAMPUNG MELAYU 01 PAGI,20108574,SD,Negeri,Kec. Jatinegara,016406,Kota Adm. Jakarta Timur,016400,Prov. D.K.I. Jakarta,010000,18,3,440,14,14,2,1,16,13 Mar 2026 12:46:07,0EA654E80C493602BB00
