nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 TELAGA,40500688,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,7,2,123,6,6,0,1,10,09 Apr 2026 11:06:20,E9B70F38732BAFF0FF0C
SD NEGERI 11 TELAGA,40500264,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,8,2,107,6,6,0,1,22,25 Apr 2026 10:04:36,C5B08467417C29EDFA28
SD NEGERI 2 TELAGA,40500613,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,8,1,118,6,13,0,0,16,15 Apr 2026 10:34:26,3BC3BABB9C0AD3F2A1CE
SD NEGERI 3 TELAGA,40500436,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,14,1,259,12,11,1,1,36,16 Mar 2026 11:10:28,3CDC5F40C507FDD2E7F1
SD NEGERI 5 TELAGA,40501912,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,8,2,152,6,6,0,1,21,24 Apr 2026 10:07:35,9A85858A5239C6215ED1
SD NEGERI 7 TELAGA,40500590,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,10,2,116,7,7,0,0,31,28 Apr 2026 09:48:21,3F9E5A7651C6ADA48E91
SDN 10 TELAGA,40500525,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,9,1,84,6,6,0,1,15,01 May 2026 15:14:52,19672B48FF912E2008D4
SDN 12 TELAGA,40501483,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,9,2,73,6,5,0,1,15,08 Mar 2026 10:01:57,A5E157B9A7CB4F7BEFBD
SDN 4 TELAGA,40500484,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,9,3,185,7,8,0,1,15,06 Apr 2026 11:16:41,C7A8EA558DD7E85EAF9F
SDN 6 TELAGA,40500284,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,8,3,126,6,6,1,1,22,02 May 2026 13:34:49,6A0F91FB95FC2AFE13A6
SDN 8 TELAGA,40500320,SD,Negeri,Kec. Telaga,300208,Kab. Gorontalo,300200,Prov. Gorontalo,300000,8,2,156,6,6,0,1,10,30 Apr 2026 10:08:45,51664DB8BAE41C2C883B
