nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 016/VI PASAR MUARA SIAU,10501640,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,10,1,91,6,6,0,1,13,27 Apr 2026 15:28:06,6EBED975F8388F1DBF9D
SD NEGERI 054/VI LUBUK BIRAH,10501160,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,10,5,49,6,5,0,1,19,18 Apr 2026 01:20:45,E14FE45AF66C8E91C928
SD NEGERI 056/VI PERADUN TEMERAS,10501162,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,11,1,59,6,6,0,1,12,03 Mar 2026 22:55:01,220C0A1956CA61D7313E
SD NEGERI 061/VI TIARO,10501151,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,12,4,54,6,5,0,1,9,07 Apr 2026 09:22:55,88EF5E385837E166EDA8
SD NEGERI 086/VI PASAR MUARA SIAU,10501192,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,7,2,45,6,7,0,0,10,10 Apr 2026 09:55:45,773BDAA9290925030DC0
SD NEGERI 108/VI LUBUK BERINGIN,10501180,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,15,2,138,7,10,0,1,34,30 Apr 2026 09:16:34,15D618F3E1EC3DFC0849
SD NEGERI 135/VI PULAU RAMAN,10501057,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,19,1,97,6,5,0,1,33,20 Apr 2026 09:15:19,1878ADE1F9439BAB513E
SD NEGERI 138/VI TELUK SIKUMBANG,10501062,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,9,2,75,6,6,0,0,21,07 Apr 2026 21:39:30,F4554ED0A0D0B84C3BED
SD NEGERI 140/VI RANTAU PANJANG,10501064,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,13,3,128,6,6,0,1,18,05 Mar 2026 20:28:05,3F6D7C38A1BE523F5900
SD NEGERI 159/VI RANTAU BIDARO,10501130,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,10,2,93,6,6,1,1,12,07 Apr 2026 19:37:55,F31281CAC1BE5AD4B9BA
SD NEGERI 161/VI MUARA SIAU,10501132,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,10,1,41,6,6,0,1,13,28 Apr 2026 09:22:11,29A771828C23AAE6BEBB
SD NEGERI 179/VI DURIAN RAMBUN,10501133,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,8,3,33,6,5,0,1,18,31 Mar 2026 14:56:39,9D56EB105A29FDE3388A
SD NEGERI 182/VI SEPANTAI RENAH,10501391,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,11,1,37,6,6,1,0,14,15 Feb 2026 02:04:11,10DB2D663515AD134391
SD NEGERI 231/VI MUARA SIAU,10501434,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,9,2,50,6,6,0,0,31,19 Apr 2026 12:30:21,DAC5A7FB561179EEEB02
SD NEGERI 232/VI RANTAU MACANG,10501435,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,12,1,66,6,6,0,1,20,02 May 2026 10:59:21,5DEEF2E40ED9C427E1D6
SD NEGERI 245/VI SUNGAI ULAS,10501414,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,9,2,49,6,6,0,0,46,18 Apr 2026 01:46:24,117BA053D1DA38D1FBA8
SD NEGERI 246/VI RANTAU BAYUR,10501415,SD,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,10,1,38,6,5,0,0,11,10 Apr 2026 13:34:06,FFC2F6CAC6571E7FAFFC
SMP NEGERI 09 MERANGIN,10501356,SMP,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,12,2,60,3,6,1,1,22,02 May 2026 13:38:37,11D2535BE07ED80B64EF
SMP NEGERI SATU ATAP 06 MERANGIN,10505009,SMP,Negeri,Kec. Muara Siau,100904,Kab. Merangin,100900,Prov. Jambi,100000,9,3,59,3,4,1,2,10,24 Apr 2026 20:29:13,A3A84434ED447039621F
