nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN ANDIR 01,20206635,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,8,3,271,9,7,0,1,21,19 Mar 2026 14:59:10,D64ACE8EFC773BA2338A
SDN ANDIR 02,20206644,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,9,4,303,11,6,0,1,17,29 Apr 2026 12:59:30,2653A79C363797C3AFB8
SDN BALEENDAH,20227515,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,8,1,290,10,7,1,1,13,06 Apr 2026 14:43:27,76107E5F6F656E71AC05
SDN BALEENDAH 02,20206969,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,13,4,451,13,17,1,1,26,24 Apr 2026 15:11:50,647E32D40789CBFA7043
SDN BALEENDAH 04,20206967,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,12,3,357,11,5,0,0,15,20 Apr 2026 08:02:03,594DC4B0CBF2626F4CBA
SDN BOJONGMALAKA 01,20206839,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,15,2,551,17,6,0,0,9,06 Mar 2026 22:56:26,FC7180D81F3CFC06755A
SDN BOJONGMALAKA 02,20206866,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,15,3,495,13,5,0,1,18,30 Mar 2026 19:59:41,82F60D5D6D16114B9721
SDN BUKITMULYA,20206908,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,8,4,230,6,6,0,1,25,31 Mar 2026 09:24:45,D8C8494BDE3D3C56A5D1
SDN CANGKRING 01,20207987,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,12,3,423,12,6,0,0,24,14 Apr 2026 11:22:01,96EA3ABAA2C63389B18B
SDN CANGKRING 02,20207986,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,13,5,569,14,8,0,0,16,05 Apr 2026 08:52:45,F135E6CB7EB9EB5438CE
SDN CANGKRING 03,20207984,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,8,2,293,8,4,0,1,12,29 Apr 2026 09:44:34,F437E7271E31DEFF1FBE
SDN CANGKRING 04,20207983,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,14,4,475,13,12,1,1,43,02 May 2026 16:04:59,65B2E32325C136459664
SDN CANGKRING 05,20207982,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,9,5,343,12,6,0,1,32,24 Apr 2026 10:56:29,1452ABB52BD4DC064BDC
SDN CIBADAK 01,20208034,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,6,4,294,10,5,0,1,17,02 May 2026 13:24:45,B94E5BE97B7B2DFDFE3D
SDN CIBADAK 02,20208032,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,12,2,496,13,7,0,0,12,13 Apr 2026 08:02:30,A2822461225B95375A87
SDN CIBADAK 03,20208031,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,13,2,370,12,6,0,0,19,28 Apr 2026 08:03:20,08E398A103736F25DAA5
SDN CIMUNCANG,20207607,SD,Negeri,Kec. Baleendah,020814,Kab. Bandung,020800,Prov. Jawa Barat,020000,12,3,407,12,6,0,1,11,13 Apr 2026 11:30:45,32C423BD6173D104D9AF
