nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN BATUMUKTI,20206956,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,9,4,213,7,6,0,1,20,06 Apr 2026 11:20:13,6D0424709A0DF189124E
SDN BUNGALAWANG,20206904,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,10,3,345,12,6,0,1,19,03 Mar 2026 23:13:00,5DD5B8EE555208873502
SDN CIHANJARO,20208151,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,6,3,192,7,7,0,1,7,04 Mar 2026 22:48:35,9B29A9E613DA5AC17BB5
SDN CIKALONG 01,20208086,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,11,2,269,11,11,0,1,11,23 Apr 2026 11:00:26,D33E8534BC419DE316B9
SDN CIKALONG 02,20208085,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,7,3,231,8,6,0,1,38,29 Apr 2026 20:26:19,8C158FBD9E4C54F20517
SDN CIMAUNG,20207543,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,9,3,354,12,7,0,1,8,31 Mar 2026 14:35:50,B39C687CF20B540F86A3
SDN CIPINANG 02,20207526,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,9,3,152,6,6,0,1,11,03 Apr 2026 20:00:48,B77B6EEC3EE2EE7256A3
SDN CIRIRIP,20207498,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,10,1,119,6,6,0,1,12,20 Apr 2026 08:46:38,25A329723AD125E6215E
SDN JAGABAYA 01,20205612,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,11,5,388,12,8,0,1,28,29 Apr 2026 20:13:01,428D68A0F5D5887FE51B
SDN JAGABAYA 02,20205611,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,16,2,472,14,12,0,1,11,04 Apr 2026 19:58:01,EC4A8ADD384F846F6BE3
SDN KARYAJUKI,20205499,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,11,5,312,12,7,0,1,12,22 Apr 2026 11:22:08,3A709FFB5751D7E26823
SDN KARYAWINAYA,20205507,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,10,3,291,12,6,0,1,53,24 Apr 2026 09:47:21,1D1AAFEEFF1FAE9129F9
SDN LANGENSARI,20205828,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,12,4,304,12,12,0,1,11,23 Apr 2026 22:11:08,AF75A794BB7A09F70D52
SDN MEKARBAKTI,20205210,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,7,3,227,9,7,0,1,27,02 Apr 2026 06:51:42,F298DD92BB942057988F
SDN MEKARWANGI,20205190,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,8,2,250,10,7,0,1,8,25 Apr 2026 07:43:03,8F01E09EBD08C8D15EE8
SDN MULYABAKTI,20205058,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,9,2,176,7,8,0,1,10,04 Mar 2026 08:40:00,6E7C05A4DAF9BAABB9B8
SDN PANGHEGAR,20205272,SD,Negeri,Kec. Cimaung,020803,Kab. Bandung,020800,Prov. Jawa Barat,020000,8,3,183,7,7,0,1,22,29 Apr 2026 14:43:10,9FD27D7464603DF488DA
