nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 BANJARANGSANA,20252239,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,1,100,6,6,0,0,10,04 Mar 2026 10:17:46,22C20C3BBFDE498C0868
SDN 1 BUANAMEKAR,20252243,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,1,179,7,5,0,1,13,08 Apr 2026 10:36:12,05FFC8F38B720CAE80E9
SDN 1 GOLAT,20212516,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,1,86,6,6,0,0,25,05 Apr 2026 19:06:50,A1E3FD1B2C762E6A064C
SDN 1 JAYAGIRI,20212634,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,1,131,6,6,0,0,23,11 Apr 2026 04:04:47,1F52152E39E819B7FD6E
SDN 1 KERTARAHARJA,20252297,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,1,127,6,8,0,2,20,28 Apr 2026 09:22:59,4268A4DB7CCF2B6F8B6A
SDN 1 MEDANGLAYANG,20212586,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,2,89,6,6,0,0,12,05 Apr 2026 20:39:42,4C3238E6442E86CC80D9
SDN 1 PANUMBANGAN,20212271,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,2,213,8,10,0,1,28,04 Apr 2026 19:48:14,05EEA33F6C93A58D7E4E
SDN 1 PAYUNGAGUNG,20212258,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,1,131,6,6,0,1,27,15 Apr 2026 02:24:10,253F91CF6CABD22B5674
SDN 1 PAYUNGSARI,20252240,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,1,87,6,6,0,0,7,06 Mar 2026 19:46:20,C22C404798170DC981CA
SDN 1 SINDANGBARANG,20252125,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,2,200,6,6,0,1,10,28 Apr 2026 09:26:05,7DD49B57146AED963675
SDN 1 SINDANGHERANG,20252241,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,1,159,6,6,0,1,9,07 Apr 2026 09:47:27,4C3FB70412D61747AE59
SDN 1 SINDANGMUKTI,20212202,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,2,121,6,6,0,1,34,07 Apr 2026 05:46:07,61B8C5052FD524FA57B9
SDN 1 SUKAKERTA,20212233,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,0,144,6,6,0,1,13,02 Apr 2026 17:35:23,D21D506A73807ABE3D73
SDN 1 TANJUNGMULYA,20212255,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,2,88,6,6,0,0,21,02 May 2026 12:49:54,9137D5276C354C71D9CE
SDN 2 BANJARANGSANA,20212466,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,6,1,75,6,6,0,0,17,05 Apr 2026 06:28:43,F8152D538571DB6F571D
SDN 2 BUANAMEKAR,20252242,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,1,199,7,6,0,1,7,28 Apr 2026 12:00:59,3BC0C9FD3DE6FABEA2C5
SDN 2 GOLAT,20212428,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,1,68,6,5,0,0,27,01 May 2026 21:36:55,7549889E4FA549BA954C
SDN 2 JAYAGIRI,20252246,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,1,139,6,6,0,1,17,04 Apr 2026 11:50:34,264F6523009EE28E8F60
SDN 2 KERTARAHARJA,20254653,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,4,115,6,6,0,1,12,27 Apr 2026 09:51:15,28C7B103110E29C0DBCE
SDN 2 MEDANGLAYANG,20211320,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,9,1,121,6,6,0,1,19,28 Apr 2026 21:30:41,FFDE73614A6C0FE65CCF
SDN 2 PANUMBANGAN,20211446,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,1,78,6,6,0,1,13,07 Apr 2026 10:30:52,B458C944725A5B5681D8
SDN 2 PAYUNGAGUNG,20252127,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,7,1,89,6,6,0,1,9,24 Apr 2026 10:18:39,0576443FAC85306B6952
SDN 2 PAYUNGSARI,20211455,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,9,1,142,6,6,0,1,15,09 Apr 2026 04:14:36,5E81AE15FFC9B5F4A2D0
SDN 2 SINDANGBARANG,20252088,SD,Negeri,Kec. Panumbangan,021430,Kab. Ciamis,021400,Prov. Jawa Barat,020000,8,1,192,7,7,0,1,12,27 Apr 2026 22:23:13,7E9D60789C7859D46CE1
