nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 BABAKAN KECAMATAN CIWARINGIN,20215211,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,17,2,477,14,11,0,0,20,24 Apr 2026 07:59:00,F4B9EA6CF4E2E69B55DD
SD NEGERI 1 BRINGIN KECAMATAN CIWARINGIN,20215184,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,2,225,7,10,0,1,40,14 Apr 2026 11:29:34,DC398212E6A9184BC227
SD NEGERI 1 BUDUR KECAMATAN CIWARINGIN,20215183,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,15,5,303,12,12,0,2,11,03 Apr 2026 23:19:31,36EAC0E202863DD9313C
SD NEGERI 1 CIWARINGIN KECAMATAN CIWARINGIN,20215280,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,23,3,577,18,19,1,1,17,09 Apr 2026 16:43:03,5AE13D53150000433991
SD NEGERI 1 GALAGAMBA KECAMATAN CIWARINGIN,20215299,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,3,254,7,9,0,1,9,29 Apr 2026 11:44:14,A781BC968746F1C5A912
SD NEGERI 1 GINTUNG KIDUL KECAMATAN CIWARINGIN,20215247,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,8,3,179,6,9,0,0,11,14 Apr 2026 09:48:19,2FD823D4DBB51D0109FD
SD NEGERI 1 GINTUNG RANJENG KECAMATAN CIWARINGIN,20215262,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,8,2,146,6,7,0,1,16,13 Apr 2026 14:59:34,2CFDE92E62604A03228B
SD NEGERI 1 GINTUNG TENGAH KECAMATAN CIWARINGIN,20215261,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,8,4,219,7,14,0,1,10,09 Apr 2026 21:55:34,098AF528E27F47C41721
SD NEGERI 2 BABAKAN KECAMATAN CIWARINGIN,20244387,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,8,3,155,6,6,0,1,6,18 Apr 2026 08:27:11,AB0768A4E1677A9E390E
SD NEGERI 2 BRINGIN KECAMATAN CIWARINGIN,20215547,SD,Negeri,Kec. Ciwaringin,021721,Kab. Cirebon,021700,Prov. Jawa Barat,020000,8,2,179,6,7,0,1,74,28 Apr 2026 15:36:15,73B2C6A1906FDD0FCBCA
