nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 DOMPYONG KULON KECAMATAN GEBANG,20215307,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,8,2,184,7,7,0,1,100,08 Apr 2026 12:29:43,8F54309C7C0DD0F5A3B1
SD NEGERI 1 DOMPYONG WETAN KECAMATAN GEBANG,20215306,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,16,2,352,12,12,0,1,68,27 Apr 2026 10:49:16,84EF51B370FC6F2E422B
SD NEGERI 1 GAGASARI KECAMATAN GEBANG,20215300,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,15,3,399,12,7,0,1,22,09 Apr 2026 07:13:19,784FBEAC89A34E4BD301
SD NEGERI 1 GEBANG KECAMATAN GEBANG,20215297,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,15,4,430,13,12,0,2,22,14 Apr 2026 10:31:09,01535E70DD9D9B688FE9
SD NEGERI 1 GEBANG KULON KECAMATAN GEBANG,20215278,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,16,4,480,14,10,0,1,11,11 Apr 2026 10:21:25,E1C44E628EDD1E24CBE2
SD NEGERI 1 GEBANGILIR KECAMATAN GEBANG,20215279,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,2,229,8,8,0,1,46,02 May 2026 02:07:50,4BF27D309039BD4A1499
SD NEGERI 1 GEBANGMEKAR KECAMATAN GEBANG,20215260,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,3,210,7,7,0,1,44,11 Apr 2026 07:21:52,75AE491B051292D3CCD4
SD NEGERI 1 GEBANGUDIK KECAMATAN GEBANG,20215259,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,2,189,7,9,0,1,22,25 Apr 2026 10:34:49,67E7DE8C99DD584C313E
SD NEGERI 1 KALIMARO KECAMATAN GEBANG,20215098,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,17,4,429,13,12,0,1,22,22 Apr 2026 10:11:02,150EB1321EBEA1FA90DB
SD NEGERI 1 KALIMEKAR KECAMATAN GEBANG,20215096,SD,Negeri,Kec. Gebang,021730,Kab. Cirebon,021700,Prov. Jawa Barat,020000,7,2,264,8,6,0,0,11,11 Apr 2026 19:08:14,6DBC16823BD1057B5C45
