nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 AMBULU KECAMATAN LOSARI,20215218,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,14,3,219,12,12,0,1,37,22 Apr 2026 13:39:16,026A9A9AD5109186FA62
SD NEGERI 1 ASTANALANGGAR KECAMATAN LOSARI,20215213,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,16,4,444,14,13,0,0,34,30 Apr 2026 09:20:48,3837F0823C0D977723C8
SD NEGERI 1 BARISAN KECAMATAN LOSARI,20215237,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,10,2,228,8,10,0,0,40,02 May 2026 08:46:55,CC9927CDAB3C35D1959F
SD NEGERI 1 KALIRAHAYU KECAMATAN LOSARI,20215092,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,18,4,380,14,12,0,1,35,24 Feb 2026 11:18:17,96EE877CEC4F1CC9E455
SD NEGERI 1 KALISARI KECAMATAN LOSARI,20215090,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,14,2,367,12,7,0,0,16,02 Apr 2026 09:54:14,001C9E6F5E07410020BB
SD NEGERI 1 LOSARI KIDUL KECAMATAN LOSARI,20215140,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,16,2,366,13,13,0,2,26,04 Apr 2026 07:48:50,076D513C0DCCDDB5CEEA
SD NEGERI 1 LOSARI LOR KECAMATAN LOSARI,20215139,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,8,3,254,7,6,0,1,9,06 Apr 2026 09:27:28,80EB7D0E09F1A155DB72
SD NEGERI 1 PANGGANGSARI KECAMATAN LOSARI,20215125,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,6,2,132,6,8,1,1,17,17 Apr 2026 15:50:02,2890DCF05E38A7612612
SD NEGERI 1 TAWANGSARI KECAMATAN LOSARI,20215472,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,10,3,257,10,7,0,1,31,05 Mar 2026 12:28:18,14CA53EB83A09A93B4DC
SD NEGERI 2 KALISARI KECAMATAN LOSARI,20215446,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,12,3,285,10,9,0,1,11,06 Apr 2026 11:47:19,705A1EB458799E9DA095
SD NEGERI 2 LOSARI LOR KECAMATAN LOSARI,20214668,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,2,163,6,6,0,0,14,02 May 2026 09:19:47,6968768B61371835F87E
SD NEGERI 2 PANGGANGSARI KECAMATAN LOSARI,20214620,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,1,286,7,6,1,1,51,04 Apr 2026 13:15:53,B6E0B7C96466895C88E0
SD NEGERI 2 TAWANGSARI KECAMATAN LOSARI,20214689,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,2,189,7,7,0,1,19,30 Apr 2026 15:22:05,A768710AF76B5EBF4F56
SD NEGERI 3 AMBULU KECAMATAN LOSARI,20214507,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,9,3,154,6,6,0,0,5,04 Mar 2026 02:37:37,CA96918186B5639D58DE
SD NEGERI 3 ASTANALANGGAR KECAMATAN LOSARI,20214505,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,8,2,164,6,6,0,1,12,15 Apr 2026 02:42:26,053BF052477E3E8FDA6D
SD NEGERI MULYASARI KECAMATAN LOSARI,20214914,SD,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,6,2,34,5,6,0,0,22,14 Apr 2026 13:51:09,5D3A72284811C2B5ABAD
SMP NEGERI 1 LOSARI,20214884,SMP,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,48,6,950,28,28,3,1,27,21 Apr 2026 13:31:46,7B4728782877A1C40D66
SMP NEGERI 2 LOSARI,20214842,SMP,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,30,9,524,18,20,3,2,21,20 Apr 2026 08:57:01,5335F72D59F5CDB63491
SMP SATU ATAP NEGERI LOSARI,20258349,SMP,Negeri,Kec. Losari,021703,Kab. Cirebon,021700,Prov. Jawa Barat,020000,15,5,217,8,8,1,1,26,13 Apr 2026 14:58:07,2FAC2D005050050FE7E4
