nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SDN 1 BRONDONG,20215794,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,12,2,372,12,8,0,1,10,04 Mar 2026 10:05:37,ED8D24E5E48B4D827A64
UPTD SDN 1 PABEAN ILIR,20215802,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,8,3,287,9,9,0,0,22,04 Apr 2026 09:26:53,D0A98D99D1133AA800B8
UPTD SDN 1 PAGIRIKAN,20215770,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,6,2,242,7,6,0,0,12,28 Mar 2026 09:41:55,942354281DD734B790F8
UPTD SDN 1 PASEKAN,20215920,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,9,2,268,9,10,0,0,20,07 Mar 2026 14:38:54,C703321505B1FD1365A6
UPTD SDN 2 BRONDONG,20216398,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,7,3,175,6,6,0,1,14,05 Mar 2026 09:40:06,D3124EBDBF2C90664748
UPTD SDN 2 PABEAN ILIR,20215801,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,5,4,226,6,6,0,1,17,13 Apr 2026 07:10:09,9116A141FCDEE0EA0850
UPTD SDN 2 PASEKAN,20215919,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,7,3,132,6,6,0,1,29,07 Mar 2026 10:42:16,C5EA8A5883E167555881
UPTD SDN 3 PABEAN ILIR,20215800,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,7,2,195,7,7,0,0,15,29 Mar 2026 06:07:57,263324424EE6F80AE835
UPTD SDN 3 PAGIRIKAN,20215910,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,6,2,117,6,6,0,1,15,16 Apr 2026 11:56:30,8A5B003386EA72C04103
UPTD SDN 4 PABEAN ILIR,20215799,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,9,3,212,7,7,0,1,15,26 Apr 2026 07:24:30,4B345CD0F068D96EA7D6
UPTD SDN KARANGANYAR,20216656,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,3,2,98,6,6,0,0,12,07 Mar 2026 14:28:51,3A018AA7A34660E5F5A0
UPTD SDN SARAPATI,20215932,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,7,1,226,9,6,0,0,10,29 Apr 2026 10:58:23,2427B6DAB7C23178D18C
UPTD SDN TOTORAN,20216122,SD,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,7,2,217,6,7,0,1,35,09 Apr 2026 14:01:32,88901A1387C0F9F4569D
UPTD SMP NEGERI 1 PASEKAN,20216036,SMP,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,22,11,559,18,18,1,1,12,20 Apr 2026 08:33:35,17103CE91E516EEC2CAF
UPTD SMP NEGERI SATU ATAP 1 PASEKAN,69821008,SMP,Negeri,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,6,2,62,3,3,1,1,19,02 Apr 2026 10:33:03,4A56BAFAC9E46B8CC9E6
SMP AL FITHRAH,69984911,SMP,Swasta,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,8,3,75,4,6,1,1,12,06 Mar 2026 09:57:30,26CBBA511401E014BCC3
SMP NU KARANGANYAR,20215958,SMP,Swasta,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,15,4,361,13,13,2,1,19,17 Apr 2026 15:30:08,4210EC64424FCDA74CAF
SMP PERINTIS PASEKAN,20241291,SMP,Swasta,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,5,1,50,3,3,1,1,19,25 Apr 2026 01:37:49,27D87334969385B58511
SMA NU KARANGANYAR,69880471,SMA,Swasta,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,9,4,42,3,4,3,1,42,07 Apr 2026 15:41:08,A69D69BDFAAD1E8A9B78
SMKS NU KARANGANYAR,20269454,SMK,Swasta,Kec. Pasekan,021829,Kab. Indramayu,021800,Prov. Jawa Barat,020000,8,5,73,6,7,1,1,14,20 Apr 2026 19:03:44,3515A83BD75CDC1ED5D2
