nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SDN 1 SUKRA,20215727,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,5,2,221,7,12,1,2,34,16 Apr 2026 09:16:28,F1770B4FE6E4D5E4011E
UPTD SDN 1 SUKRA WETAN,20216615,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,6,1,86,6,8,0,1,25,09 Apr 2026 21:00:27,2D41305919B0A940FBC7
UPTD SDN 1 SUMURADEM,20215719,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,12,2,415,12,12,0,1,35,27 Apr 2026 12:25:19,FE5BBC198C698D1BA436
UPTD SDN 1 SUMURADEM TIMUR,20215718,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,5,3,351,12,8,0,1,18,22 Apr 2026 08:19:50,A654F66632C09C4916FA
UPTD SDN 1 TEGAL TAMAN,20216164,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,9,2,429,12,12,0,1,22,25 Apr 2026 11:41:34,FDFE94E3B650FC1AB5F0
UPTD SDN 1 UJUNGGEBANG,20216250,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,6,1,141,6,6,0,0,24,30 Apr 2026 09:23:43,66D20F7744409340AC90
UPTD SDN 2 SUKRA,20215724,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,6,2,173,6,6,0,1,30,28 Apr 2026 20:15:45,B3BC3B9CE8212A90C646
UPTD SDN 2 SUKRA WETAN,20215726,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,4,2,135,6,6,0,1,9,05 Apr 2026 14:48:49,D9323D9C9FAB2137D973
UPTD SDN 2 SUMURADEM,20215716,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,4,1,401,12,12,0,1,13,08 Apr 2026 09:40:18,347D87B1F1CA565795F2
UPTD SDN 2 SUMURADEM TIMUR,20215717,SD,Negeri,Kec. Sukra,021822,Kab. Indramayu,021800,Prov. Jawa Barat,020000,7,2,254,7,6,0,1,14,16 Apr 2026 08:42:20,A9F5FD8F97DA4C2E9784
