nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN SOLOKAN I,20236846,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,7,4,198,8,6,0,0,10,21 Apr 2026 07:34:13,B4E651735BA53F7F337D
SDN SOLOKAN II,20236847,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,8,2,96,6,7,0,1,14,29 Apr 2026 10:48:09,A8AD58B0373C79914EAD
SDN SOLOKAN III,20236848,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,8,1,169,7,7,0,1,8,04 Apr 2026 07:39:43,3EB7C6E186CA3081B247
SDN TANAHBARU I,20236941,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,13,3,292,12,11,0,1,20,30 Apr 2026 09:16:00,3EAC0352AE6EA1861B9F
SDN TANAHBARU II,20236942,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,8,1,138,6,6,0,1,22,22 Apr 2026 11:05:50,5E58FF38D7CB80515A64
SDN TANAHBARU III,20236943,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,6,2,57,6,6,0,0,13,06 Apr 2026 10:59:28,161AC642E7A1705515CF
SDN TANJUNGBUNGIN I,20236944,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,10,2,184,7,6,0,1,16,07 Apr 2026 22:23:58,AD155776AA87CE2E5A69
SDN TANJUNGBUNGIN II,20236946,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,8,2,99,6,6,0,1,49,29 Apr 2026 13:58:25,737B49AA96954CE487B1
SDN TANJUNGMEKAR I,20236945,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,9,3,142,6,6,0,1,23,20 Apr 2026 20:37:04,15F53AE780335D6123BB
SDN TANJUNGMEKAR II,20236947,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,8,1,100,6,5,0,0,39,01 May 2026 21:57:01,C1F3888E0285915DE717
SDN TANJUNGMEKAR III,20236948,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,7,2,76,6,8,0,0,17,07 Apr 2026 09:33:08,A8F78D75956A0454CAF5
SDN TANJUNGPAKIS I,20236956,SD,Negeri,Kec. Pakisjaya,022120,Kab. Karawang,022100,Prov. Jawa Barat,020000,14,3,296,12,10,0,1,18,13 Apr 2026 10:42:02,A9EDECF1D59ABF338F20
