nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI GANDASARI I,20246195,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,7,1,126,6,5,0,1,12,10 Apr 2026 05:50:20,AA4E9699FE53C5DE7681
SD NEGERI GANDASARI II,20246196,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,7,2,145,6,6,0,0,12,16 Apr 2026 10:21:17,E7A34C0C9708A7907230
SD NEGERI GIRIMUKTI I,20246205,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,8,1,142,6,6,0,1,22,16 Apr 2026 10:23:04,86468B1219967FDF663A
SD NEGERI GIRIMUKTI II,20246206,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,13,3,212,9,12,0,1,17,25 Apr 2026 20:16:03,2DC0593BBC81A3452852
SD NEGERI GUNUNGSARI I,20246209,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,12,2,286,12,10,0,0,12,23 Apr 2026 09:55:59,BDAC3CB2C2726D14EA5B
SD NEGERI GUNUNGSARI II,20246210,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,8,2,133,6,6,0,0,12,09 Apr 2026 23:24:32,B6FC277626E0D36D3D5E
SD NEGERI GUNUNGSARI IV,20246212,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,7,2,92,6,6,0,1,12,21 Apr 2026 09:49:13,466DB440BCC44C954B41
SD NEGERI JATIMULYA I,20246371,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,8,1,132,6,6,0,1,13,12 Mar 2026 10:48:28,A8BDBF38247C23A8576C
SD NEGERI JATIMULYA II,20246214,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,11,1,197,9,9,0,1,7,16 Apr 2026 10:26:28,B425715F40A1803396B5
SD NEGERI JATISAWIT I,20246216,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,9,1,192,8,9,0,1,13,30 Apr 2026 23:02:06,A0BB95CF5265C5E68885
SD NEGERI KASOKANDEL I,20246229,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,23,1,473,18,19,0,2,11,29 Apr 2026 09:58:30,6812429FA683E89F7B3A
SD NEGERI LEUWIKIDANG I,20246372,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,13,1,219,11,13,0,1,12,17 Apr 2026 10:03:11,B987E992AD3A3B581AB1
SD NEGERI LEUWIKIDANG III,20246241,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,7,2,159,6,6,0,1,10,02 Apr 2026 00:38:35,5477897D1C27079B4FCA
SD NEGERI RANJIKULON I,20246268,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,15,2,432,12,13,0,1,15,26 Apr 2026 21:05:29,2D819D5AA4C06CF77958
SD NEGERI RANJIWETAN I,20246270,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,10,1,218,8,8,0,0,16,07 Apr 2026 22:02:14,8D9D48B587BD4C4FD2CE
SD NEGERI RANJIWETAN III,20246272,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,7,1,109,6,6,0,0,14,17 Apr 2026 17:24:34,7CEEFB75D723CE77A37D
SD NEGERI RANJIWETAN IV,20246273,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,7,1,132,6,6,0,1,22,02 May 2026 13:02:25,200C1AC15B29CE9E6EFA
SD NEGERI RANJIWETAN V,20246274,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,9,1,220,7,7,0,0,8,09 Apr 2026 07:41:47,31410CA9C10DF7B64B1F
SD NEGERI WANAJAYA I,20246311,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,7,1,209,6,5,1,1,16,14 Apr 2026 09:19:47,BB399F4C0253BF2B1261
SD NEGERI WANAJAYA II,20246373,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,8,2,165,6,6,0,0,13,09 Apr 2026 21:39:58,109D90609A7C6051E0B2
SD NEGERI WANAJAYA III,20246312,SD,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,8,1,133,6,6,0,0,8,04 Mar 2026 17:58:18,6006D3C688F9670CCACE
SDIT AL-KAUTSAR,70002185,SD,Swasta,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,7,2,210,10,6,0,0,20,28 Apr 2026 12:10:06,89DBE6A0FA589B8EC2E4
SMP NEGERI 1 KASOKANDEL,20271665,SMP,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,36,8,851,25,25,2,1,25,16 Apr 2026 23:55:37,8FB6072EF03F1A893241
SMP NEGERI 2 KASOKANDEL,20213905,SMP,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,28,11,557,18,18,2,1,27,24 Apr 2026 08:20:30,36D8125E99953D52D8F9
SMP NEGERI 3 KASOKANDEL,20263957,SMP,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,9,2,109,6,9,2,1,17,13 Apr 2026 16:06:11,EBB8B1A8DB4489CE3501
SMP IT AR-RAHMAN,69984370,SMP,Swasta,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,14,7,208,8,9,2,1,25,20 Apr 2026 11:14:14,ADA1E2ED8AB3D4952306
SMAN 1 KASOKANDEL,20213883,SMA,Negeri,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,55,16,1371,36,36,9,1,46,21 Apr 2026 14:21:13,60B414D8B39D659264F7
SMA IT AR - RAHMAN,70035731,SMA,Swasta,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,13,5,85,4,5,2,1,14,23 Apr 2026 11:18:40,268DFD297F1A44CB8547
SMK TRI DAYA BUDI MAJALENGKA,20247193,SMK,Swasta,Kec. Kasokandel,021626,Kab. Majalengka,021600,Prov. Jawa Barat,020000,12,5,183,6,10,1,1,44,29 Apr 2026 15:43:02,0FD86F92FF73A4855AE5
