nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 NANGERANG,20229539,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,6,4,128,6,6,0,1,62,07 Apr 2026 07:51:40,B3DDB23A057FF6CDDB42
SD NEGERI 1 TARINGGUL TONGGOH,20217468,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,13,4,324,12,6,0,1,18,23 Apr 2026 11:29:40,516F3904DD7D72E60865
SD NEGERI 1 WANAYASA,20217448,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,12,4,248,10,8,0,1,58,15 Apr 2026 11:47:47,25320000F8D0CC014908
SD NEGERI 2 NANGERANG,20217215,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,5,4,144,6,6,0,1,11,14 Apr 2026 08:32:29,1E060CD780CAE52C96E8
SD NEGERI 2 TARINGGUL TONGGOH,20217207,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,8,3,213,7,5,0,1,24,10 Apr 2026 13:41:38,D022ED1C9297040370A6
SD NEGERI 2 WANAYASA,20217449,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,8,3,121,6,7,0,1,10,10 Apr 2026 18:47:18,9DD69119C1D0875D4598
SD NEGERI SUKADAMI,20217467,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,9,2,223,7,6,0,1,14,17 Apr 2026 08:16:49,7D6BA89B362CD0D50B60
SD NEGERI TARINGGUL TENGAH,20217646,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,7,3,212,7,6,0,1,24,27 Apr 2026 18:27:40,87BDD8797937D1C85633
SDN 1 BABAKAN,20217713,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,10,4,204,8,10,0,1,19,10 Apr 2026 12:38:55,70D3B76CD8C746BAFF67
SDN 1 CIBUNTU,20217419,SD,Negeri,Kec. Wanayasa,022008,Kab. Purwakarta,022000,Prov. Jawa Barat,020000,8,2,182,6,6,0,0,14,27 Apr 2026 11:29:08,58E27EBDB0A0C142A229
