nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BLANAKAN,20232613,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,6,5,206,7,7,0,1,26,17 Apr 2026 20:43:17,DBA83B233659B068FEC7
SD NEGERI BOJONGSARI,20232617,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,1,123,6,6,0,1,15,29 Apr 2026 07:18:02,4BFD2EA9A7DD41DCC20E
SD NEGERI BUDIASIH,20232624,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,6,1,121,7,7,0,1,9,10 Apr 2026 11:15:47,7CD88904726BFEEE9784
SD NEGERI CILAMAYA GIRANG,20245303,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,1,145,7,7,0,0,15,10 Apr 2026 11:50:10,E4EE9F4297586B4918ED
SD NEGERI DARMAWINAYA,20232742,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,8,1,109,6,6,1,1,13,15 Apr 2026 10:08:33,9A1DA908A90EBDE05D7A
SD NEGERI JAYAMUKTI,20232835,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,8,2,210,7,7,0,1,18,15 Apr 2026 19:22:24,F92276C88E34B0C5FB86
SD NEGERI KARANGJAYA,20232862,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,9,1,206,6,6,0,1,25,06 Apr 2026 09:53:28,749AF6F98D9F014C6398
SD NEGERI KERTA MUKTI,20232923,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,0,173,6,6,1,1,16,09 Apr 2026 08:02:28,91657AB1CB58F6CE2F05
SD NEGERI KERTAJAYA,20232921,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,9,1,250,8,8,0,1,12,03 Apr 2026 06:04:47,41D889B304F0F223F6D2
SD NEGERI MEKARBAKTI,20232998,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,9,3,243,7,6,0,0,16,14 Apr 2026 07:11:30,F59CE7B38D9AB13ED4D0
SD NEGERI MUARA,20233032,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,11,1,300,10,10,0,0,10,15 Apr 2026 21:27:03,B53E8C22BC85E30F925A
SD NEGERI RAWAMEKAR,20233194,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,2,158,6,6,0,1,5,06 Apr 2026 12:06:59,35DE199895D9C5F5CA2A
SD NEGERI RAWAMENENG,20233196,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,0,185,6,7,0,1,13,06 Apr 2026 08:35:24,A06DDCFCEF399E0DC493
SD NEGERI SAMUDRAJAYA,20233213,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,10,3,235,8,8,0,1,21,10 Apr 2026 13:37:44,2484AF6A5CA53B29B967
SD NEGERI SARI ASIH,20233227,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,2,165,6,6,0,0,14,14 Apr 2026 06:55:28,BE3E9025B82245B67407
SD NEGERI SIDA MUKTI,20233251,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,1,72,6,6,0,1,15,03 Apr 2026 13:09:11,EB0DB8B1A1A9C531168B
SD NEGERI SINDANGLAUT,20233260,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,1,128,6,7,0,1,5,14 Apr 2026 01:08:47,04D4C425D196474CEE86
SD NEGERI SUKADANA,20233278,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,3,4,89,6,6,0,1,18,29 Apr 2026 19:15:27,2420EBD156009336DF2F
SD NEGERI SUKAJAYA,20233294,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,6,3,215,6,7,0,1,12,02 Apr 2026 09:53:57,3A8543F2F1DF0EFF688C
SD NEGERI SUKAMANAH,20233403,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,8,1,66,6,6,0,1,9,05 Mar 2026 00:46:47,BE6232FE3723239C6A5F
SD NEGERI SUKAMUKTI,20233421,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,2,135,6,6,0,1,11,11 Apr 2026 09:04:21,3018A029E684A5E58079
SD NEGERI SUKAWERA,20233443,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,7,3,106,6,6,1,1,11,15 Apr 2026 06:13:02,7924DA729E5B34BD1B05
SD NEGERI SUMURSAPI,20233449,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,8,3,153,7,7,1,1,21,18 Mar 2026 04:41:19,887EF559333652046A8D
SD NEGERI TAMAN WINAYA,20233472,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,14,4,479,12,12,0,1,39,30 Apr 2026 07:49:08,47A3F75B4E34D3CB4D37
SD NEGERI TANJUNG BARU,20233479,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,10,3,284,9,8,0,0,19,16 Apr 2026 10:30:14,6C384D577427AAA8B9E4
SD NEGERI TANJUNGSARI,20233492,SD,Negeri,Kec. Blanakan,021922,Kab. Subang,021900,Prov. Jawa Barat,020000,11,1,218,9,11,0,3,15,10 Apr 2026 20:10:25,AB1A5A8160F406904697
