nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 CIMERANG,20203014,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,15,3,381,16,18,0,1,29,22 Apr 2026 15:52:21,BE2BF64071E06F3FA4B8
SD NEGERI 1 PURABAYA,20202464,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,7,2,191,7,7,0,1,14,03 Mar 2026 21:12:42,C815A49CD2A3EB5E56DD
SD NEGERI 2 PURABAYA,20202795,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,3,2,132,6,8,0,1,33,17 Apr 2026 12:41:15,06196B810F65987F0748
SD NEGERI ANCOL,20202821,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,7,1,123,6,5,0,1,18,27 Apr 2026 11:03:05,D91161B11412D1E2F16A
SD NEGERI CIAKAR,20202641,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,6,1,222,7,7,0,1,13,20 Apr 2026 10:59:20,E51AE56A60D43740E139
SD NEGERI CICUKANG,20202722,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,6,2,119,6,6,0,0,35,30 Apr 2026 10:14:34,FA57CB287F3B0B53DE88
SD NEGERI CIGEMBONG,20202682,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,5,2,123,6,6,0,1,14,04 Mar 2026 08:27:57,D673E20F71284FAF9F28
SD NEGERI CIKONTRANG,20203079,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,5,1,139,6,6,0,0,21,26 Apr 2026 11:06:21,3F037F833960BF6CD535
SD NEGERI CIPARI,20203172,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,8,1,201,6,6,0,0,19,13 Apr 2026 11:13:10,D09D41DB18913A6C7457
SD NEGERI CIRAJEG,20203179,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,6,1,98,6,6,0,0,17,08 Apr 2026 13:49:57,5B7E7B4658D7AEA846ED
SD NEGERI CISARUA,20202971,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,8,1,287,12,12,0,1,17,16 Apr 2026 12:08:12,E273B5B99A19998911D0
SD NEGERI CISITU 2,20202975,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,8,3,123,6,6,0,1,35,23 Apr 2026 12:06:06,86B756B3257A00097FA9
SD NEGERI HEGARMANAH,20202994,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,4,3,140,6,8,0,0,15,04 Mar 2026 21:54:13,7D4E491C32210CF452FB
SD NEGERI KALIBUNDER,20202118,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,2,2,88,6,6,0,1,25,15 Apr 2026 10:48:22,53F094C22FEBA04DE7AF
SD NEGERI NANGERANG,20202178,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,9,2,186,6,6,0,0,22,20 Apr 2026 13:46:20,B71797152B52D9E6A3F8
SD NEGERI NANGEWER,20202190,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,6,2,87,6,6,0,0,23,13 Apr 2026 20:26:46,48DB278E76836628C332
SD NEGERI NAROGONG,20202193,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,5,2,107,6,6,0,1,23,17 Apr 2026 09:37:15,A68AD0FD9FC9A70EA7EE
SD NEGERI NEGLAASIH,20202180,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,2,1,76,6,7,0,0,20,29 Apr 2026 02:11:27,149E485FA4D25D9E72BC
SD NEGERI PAGELARAN,20201985,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,7,1,112,6,6,0,0,26,22 Apr 2026 08:07:26,AE7EFB79A3281B9580DE
SD NEGERI PUSPADAYA,20202481,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,7,0,296,12,9,0,1,24,31 Mar 2026 10:05:58,82BFF7E3A22DD6B867E1
SD NEGERI SELAKOPI,20202424,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,9,2,200,7,9,0,1,25,27 Apr 2026 07:36:40,45C963EFD32BC990AE78
SD NEGERI SUKAHAYU,20202561,SD,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,6,1,112,6,5,0,1,24,01 Apr 2026 00:36:55,D87E586476B7DCC9AAB7
SD ISLAM TERPADU AL-BAROKAH,70045114,SD,Swasta,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,6,2,62,4,6,0,0,10,30 Apr 2026 20:19:14,9E29C3B186ADB8A3FDC2
SDIT Adzkia 5 Purabaya,70039852,SD,Swasta,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,8,1,120,7,4,0,0,14,20 Apr 2026 08:05:55,83EC83C7431A4B8ADDC4
SMP NEGERI 1 PURABAYA,20247082,SMP,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,16,4,433,15,20,3,1,50,30 Apr 2026 19:30:45,817B61829AEF26FEE310
SMP NEGERI 2 PURABAYA,20256559,SMP,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,10,2,89,4,6,1,1,7,13 Apr 2026 20:07:57,EC4510208367E6A64F87
SMP NEGERI 3 PURABAYA SATAP,69786518,SMP,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,10,5,156,6,7,1,1,21,29 Apr 2026 07:43:46,7B750A731456B960E51E
SMP NEGERI 4 PURABAYA,69851383,SMP,Negeri,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,6,2,75,3,6,1,1,13,14 Apr 2026 18:33:04,53D58105EFCBCEA6992A
SMPS TERPADU ALBINA,69752365,SMP,Swasta,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,12,7,184,6,7,1,1,25,02 May 2026 19:05:53,C7D8CC0EA2A8C0FE2221
SMA PLUS AL RAIHAN,69992903,SMA,Swasta,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,16,2,216,6,3,0,1,9,24 Apr 2026 16:14:53,E2703F515B16357BB660
SMK AL- IHYAUL IRSYAD,20268817,SMK,Swasta,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,6,3,53,3,3,0,0,21,21 Mar 2026 10:10:50,D584ABE2F0EB58430967
SMK NASIONAL AL-ULUM,69888828,SMK,Swasta,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,4,2,95,3,4,1,1,29,22 Apr 2026 20:15:43,2A9EE0C3D3195907823D
SMKS Ibadurrohman,69962720,SMK,Swasta,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,2,4,52,3,4,0,0,6,10 Mar 2026 20:58:08,81E17EE9B3DB0138E884
SMKS TERPADU AL ITTIHAD,20252951,SMK,Swasta,Kec. Purabaya,020640,Kab. Sukabumi,020600,Prov. Jawa Barat,020000,26,9,537,16,16,1,1,8,19 Feb 2026 15:59:58,54C7D111E8496266215F
