nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BABAKAN,20208347,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,7,3,76,6,6,0,0,17,01 May 2026 10:29:16,71B21434A80E40E981D0
SD NEGERI BAGINDA I,20208350,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,1,144,6,7,0,1,10,06 Mar 2026 09:01:26,3446BB99A2BD8F0C5EE2
SD NEGERI BAGINDA II,20208553,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,10,2,132,6,6,0,0,20,02 May 2026 10:24:15,942B476BF46CDEF5A6D2
SD NEGERI CADASPANGERAN,20208606,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,10,1,217,10,8,0,1,33,15 Apr 2026 22:57:23,87BFD2DEA2713A269CC4
SD NEGERI CIAWI,20208609,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,1,95,6,6,0,0,38,30 Apr 2026 08:49:58,3BFBE70115C9C1B2544C
SD NEGERI CIKAMUNING,20208376,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,1,83,6,6,0,1,11,13 Apr 2026 20:15:20,9F483C65AF884D1F8A20
SD NEGERI CIKONDANG I,20208382,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,12,3,198,8,10,0,1,30,13 Apr 2026 19:48:57,0180591110E0F4C1A79E
SD NEGERI CILOA,20208388,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,1,89,6,6,0,0,17,06 Apr 2026 20:16:45,BFE9E854BE0B436A3F4C
SD NEGERI CIPAMEUNGPEUK,20208358,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,15,2,229,11,10,0,0,61,02 May 2026 11:28:57,004282CBD9CE90C233F4
SD NEGERI CIPANCAR,20208807,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,2,124,6,5,1,1,29,27 Apr 2026 09:52:18,9C798A2CC414E6F880EE
SD NEGERI CITENGAH,20208781,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,1,125,6,6,0,1,23,02 May 2026 09:16:56,E16C7A9F317F3578D33B
SD NEGERI CITRARESMI,20208366,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,2,162,6,6,0,1,13,14 Apr 2026 07:22:51,68EF090F2C5B4DA71038
SD NEGERI DARANGDAN,20208368,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,1,137,6,10,0,1,29,04 Mar 2026 08:19:04,C048A69D32CF9AC99D7E
SD NEGERI DARANGDAN TINGKAT,20208369,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,11,2,174,9,6,0,1,14,31 Mar 2026 11:03:31,00AAD1A11E9D765439E5
SD NEGERI GUDANG KOPI II,20208790,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,10,0,85,6,5,0,0,29,30 Apr 2026 09:17:02,420CF2CE9B038C6C39EF
SD NEGERI GUDANGKOPI I,20208260,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,1,162,6,5,0,0,31,27 Apr 2026 11:04:27,CF4302A634AB0A783FF0
SD NEGERI GUNASARI,20208810,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,2,133,6,6,0,1,21,02 Apr 2026 07:25:23,DC3C96A5641B999B1D51
SD NEGERI GUNUNGGADUNG,20208811,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,2,173,7,7,0,0,19,06 Apr 2026 18:24:02,D60650BCFC38CDECCFDF
SD NEGERI KARANGMULYA,20246344,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,2,148,7,6,0,1,24,15 Apr 2026 08:03:34,D066410C0AA15469C9CA
SD NEGERI KEBONSEUREUH,20208241,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,1,151,6,6,0,1,17,21 Apr 2026 11:08:13,1B084ACCB4B5C1C4B652
SD NEGERI MALATI,20208253,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,0,103,6,6,0,0,27,16 Apr 2026 17:06:28,996AF99348AE1C8A1D70
SD NEGERI MANANGGA,20208254,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,2,194,7,8,0,1,50,02 May 2026 08:03:22,F250EE34752628B20C48
SD NEGERI MARGACINTA,20246346,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,2,99,6,6,0,0,15,29 Apr 2026 07:09:54,55EB8696445FD1C3D646
SD NEGERI MARGAPALA,20208299,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,2,170,6,7,0,1,29,10 Apr 2026 16:24:15,85B3213CD54D875593A1
SD NEGERI MARGASUKA I,20208300,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,0,178,6,9,0,1,17,13 Apr 2026 08:39:03,581D5A2B15C63D024538
SD NEGERI MARGASUKA II,20208301,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,3,129,6,6,0,1,13,24 Apr 2026 08:09:07,9374A824E06636FF61E4
SD NEGERI PAKUWON I,20208278,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,16,2,265,12,8,0,0,17,09 Apr 2026 13:43:41,EDB6DB8AE76A3E886257
SD NEGERI PAKUWON II,20208279,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,2,110,6,4,0,1,7,21 Apr 2026 19:13:58,CDFFA33658784E6C4E7E
SD NEGERI PALASARI,20246351,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,1,135,6,6,0,1,17,13 Apr 2026 06:04:52,A2AB0756125456AFE0DB
SD NEGERI PASANGGRAHAN I,20208292,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,16,1,298,12,14,0,1,61,02 May 2026 18:25:29,E098F2A309F34478174C
SD NEGERI PASANGGRAHAN II,20208312,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,11,3,242,8,8,1,0,37,24 Apr 2026 08:02:48,2EE92E13DA78D75C550C
SD NEGERI PASANGGRAHAN III,20208467,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,9,2,205,7,6,0,1,11,13 Apr 2026 10:36:38,F1B48E589A741E49032B
SD NEGERI PASAREAN,20208487,SD,Negeri,Kec. Sumedang Selatan,021005,Kab. Sumedang,021000,Prov. Jawa Barat,020000,8,1,127,6,8,0,1,14,09 Apr 2026 17:14:27,BD9511D5D992A639C1BF
